phase,item,status,evidence,detail
P0,real_qec true,pass,results\runs\_phase0_smoke\summary_metrics.csv,
P0,loop/per-record timing,pass,results\runs\_phase0_smoke\summary_metrics.csv,loop_per_shot
P1/P3/P4,d7: required modes,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,
P1/P3/P4,d7: fast timing stable,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,fast lag violation=0
P1/P3/P4,d7: accurate lower LER than fast,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"accurate=0.0005, fast=0.172"
P1/P3/P4,d7: rt_qec preserves logical reliability,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"rt=0.01325, fast=0.172"
P1/P3/P4,d7: rt_qec beats accurate on lag or boundary,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"lag rt=0.0025, acc=0.00575; boundary rt=1, acc=1"
P1/P3/P4,d7: rt_qec beats edf on LER,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"rt=0.01325, edf=0.172"
P1/P3/P4,d7: scheduler ablation contributes,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"lag rt=0.0025, no_sched=0.004; p99 rt=44.5116, no_sched=51.7931"
P1/P3/P4,d7: validation ablation is unsafe,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"no_validation=0.04325, rt=0.01325"
P3-burst,burst: required modes,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,
P3-burst,burst: fast timing stable,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,fast lag violation=0.00075
P3-burst,burst: accurate lower LER than fast,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,"accurate=0.003, fast=0.247"
P3-burst,burst: rt_qec preserves logical reliability,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,"rt=0.0085, fast=0.247"
P3-burst,burst: rt_qec beats accurate on lag or boundary,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,"lag rt=0.015, acc=0.02675; boundary rt=0.857143, acc=0.833333"
P3-burst,burst: rt_qec beats edf on LER,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,"rt=0.0085, edf=0.247"
P3-burst,burst: scheduler ablation contributes,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,"lag rt=0.015, no_sched=0.01925; p99 rt=85.633, no_sched=87.9465"
P3-burst,burst: validation ablation is unsafe,pass,results\runs\paper_suite_burst_rtss_v2\main\summary_metrics.csv,"no_validation=0.06675, rt=0.0085"
P3-scaling,d11: required modes,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,
P3-scaling,d11: fast timing stable,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,fast lag violation=0.00075
P3-scaling,d11: accurate lower LER than fast,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,"accurate=0, fast=0.3115"
P3-scaling,d11: rt_qec preserves logical reliability,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,"rt=0.06, fast=0.3115"
P3-scaling,d11: rt_qec beats accurate on lag or boundary,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,"lag rt=0.13, acc=0.2645; boundary rt=0.690476, acc=0.52381"
P3-scaling,d11: rt_qec beats edf on LER,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,"rt=0.06, edf=0.31125"
P3-scaling,d11: scheduler ablation contributes,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,"lag rt=0.13, no_sched=0.2415; p99 rt=357.274, no_sched=564.181"
P3-scaling,d11: validation ablation is unsafe,pass,results\runs\paper_suite_d11_rtss_v2\main\summary_metrics.csv,"no_validation=0.3105, rt=0.06"
P7,overhead components measured,pass,results\runs\wcet_overheads_d7\overhead_summary.csv,"accurate_backend,fast_backend,frontend,scheduler,validation"
P8,d7: manifest frozen metadata,pass,results\runs\paper_suite_d7_rtqec_ai_selected\suite_manifest.json,git=f211f182ea79aa6d342fcf1eab23448ad50b8fa4
P8,burst: manifest frozen metadata,pass,results\runs\paper_suite_burst_rtss_v2\suite_manifest.json,git=f211f182ea79aa6d342fcf1eab23448ad50b8fa4
P8,d11: manifest frozen metadata,pass,results\runs\paper_suite_d11_rtss_v2\suite_manifest.json,git=f211f182ea79aa6d342fcf1eab23448ad50b8fa4
