regime,mode,display_mode,logical_error_rate,p99_response_time_us,p999_response_time_us,pauli_frame_lag_violation_ratio,boundary_commit_success_rate,fast_selection_rate,accept_rate,timing_mode,real_qec
d7_main,accurate_only,Accurate,0.00025,435.4090015792845,520.3059992370645,0.1475,0.8095238095238095,0.0,0.0,loop_per_shot,True
d7_main,fast_only,Fast,0.1815,4.799999237060547,20.500403816223407,0.0,1.0,1.0,0.0,loop_per_shot,True
d7_main,edf,EDF,0.008,46.79999168395996,47.89999771499634,0.01125,1.0,0.04225,0.0,loop_per_shot,True
d7_main,rt_qec,RT-QEC,0.014,95.84351555677696,141.70462520120822,0.02675,0.9761904761904762,0.1675,0.31725,loop_per_shot,True
d7_main,rt_qec_ai,Pre-Dec,0.00325,102.40643547417665,146.84263382128623,0.03425,0.9523809523809524,0.052,0.321,loop_per_shot,True
d11_scaling,accurate_only,Accurate,0.0,11781.904031944276,11856.404020599368,0.78425,0.0476190476190476,0.0,0.0,loop_per_shot,True
d11_scaling,fast_only,Fast,0.33025,14.603998489379787,356.1053984718358,0.00475,1.0,1.0,0.0,loop_per_shot,True
d11_scaling,edf,EDF,0.108,39.59999851226807,40.0,0.0,1.0,0.3205,0.0,loop_per_shot,True
d11_scaling,rt_qec,RT-QEC,0.05725,4570.335682204716,4687.893075599832,0.44575,0.2857142857142857,0.1945,0.207,loop_per_shot,True
d11_scaling,rt_qec_ai,Pre-Dec,0.04425,4575.985685967268,4693.543079362384,0.4705,0.2142857142857142,0.14525,0.207,loop_per_shot,True
burst,accurate_only,Accurate,0.00275,471.7440787220468,502.81997321493066,0.2445,0.2857142857142857,0.0,0.0,loop_per_shot,True
burst,fast_only,Fast,0.24925,22.10099849700925,224.12509847642644,0.0055,0.9761904761904762,1.0,0.0,loop_per_shot,True
burst,edf,EDF,0.0565,27.90000534057617,224.12509847642644,0.00375,0.9761904761904762,0.19925,0.0,loop_per_shot,True
burst,rt_qec,RT-QEC,0.007,313.2705219398281,354.6311106031997,0.16325,0.4285714285714285,0.0345,0.168,loop_per_shot,True
burst,rt_qec_ai,Pre-Dec,0.0055,313.2705219398281,354.6311106031997,0.16325,0.4285714285714285,0.0175,0.168,loop_per_shot,True
