phase,item,status,evidence,detail
P0,real_qec true,pass,results\runs\_phase0_smoke\summary_metrics.csv,
P0,loop/per-record timing,pass,results\runs\_phase0_smoke\summary_metrics.csv,loop_per_shot
P1/P3/P4,d7: required modes,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,
P1/P3/P4,d7: fast timing stable,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,fast lag violation=0
P1/P3/P4,d7: accurate lower LER than fast,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"accurate=0.00025, fast=0.1815"
P1/P3/P4,d7: rt_qec preserves logical reliability,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"rt=0.014, accurate=0.00025, fast=0.1815"
P1/P3/P4,d7: rt_qec beats accurate on lag or boundary,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"lag rt=0.02675, acc=0.1475; boundary rt=0.97619, acc=0.809524"
P1/P3/P4,d7: certified method beats edf on LER,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"rt_qec_ai=0.00325, rt=0.014, edf=0.008"
P1/P3/P4,d7: scheduler ablation contributes,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"lag rt=0.02675, no_sched=0.051; p99 rt=95.8435, no_sched=156.328"
P1/P3/P4,d7: validation ablation is unsafe,pass,results\runs\paper_suite_d7_rtqec_ai_selected\main\summary_metrics.csv,"no_validation=0.053, rt=0.014"
P3-burst,burst: required modes,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,
P3-burst,burst: fast timing stable,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,fast lag violation=0.0055
P3-burst,burst: accurate lower LER than fast,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,"accurate=0.00275, fast=0.24925"
P3-burst,burst: rt_qec preserves logical reliability,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,"rt=0.007, accurate=0.00275, fast=0.24925"
P3-burst,burst: rt_qec beats accurate on lag or boundary,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,"lag rt=0.16325, acc=0.2445; boundary rt=0.428571, acc=0.285714"
P3-burst,burst: certified method beats edf on LER,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,"rt_qec_ai=0.0055, rt=0.007, edf=0.0565"
P3-burst,burst: scheduler ablation contributes,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,"lag rt=0.16325, no_sched=0.1775; p99 rt=313.271, no_sched=351.697"
P3-burst,burst: validation ablation is unsafe,pass,results\runs\paper_suite_burst_rtqec_ai\main\summary_metrics.csv,"no_validation=0.064, rt=0.007"
P3-scaling,d11: required modes,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,
P3-scaling,d11: fast timing stable,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,fast lag violation=0.00475
P3-scaling,d11: accurate lower LER than fast,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,"accurate=0, fast=0.33025"
P3-scaling,d11: rt_qec preserves logical reliability,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,"rt=0.05725, accurate=0, fast=0.33025"
P3-scaling,d11: rt_qec beats accurate on lag or boundary,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,"lag rt=0.44575, acc=0.78425; boundary rt=0.285714, acc=0.047619"
P3-scaling,d11: certified method beats edf on LER,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,"rt_qec_ai=0.04425, rt=0.05725, edf=0.108"
P3-scaling,d11: scheduler ablation contributes,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,"lag rt=0.44575, no_sched=0.746; p99 rt=4570.34, no_sched=10520.4"
P3-scaling,d11: validation ablation is unsafe,pass,results\runs\paper_suite_d11_rtqec_ai\main\summary_metrics.csv,"no_validation=0.33025, rt=0.05725"
P7,overhead components measured,pass,results\runs\wcet_overheads_d7\overhead_summary.csv,"accurate_backend,fast_backend,frontend,scheduler,validation"
P8,d7: manifest frozen metadata,pass,results\runs\paper_suite_d7_rtqec_ai_selected\suite_manifest.json,git=f211f182ea79aa6d342fcf1eab23448ad50b8fa4
P8,burst: manifest frozen metadata,pass,results\runs\paper_suite_burst_rtqec_ai\suite_manifest.json,git=f211f182ea79aa6d342fcf1eab23448ad50b8fa4
P8,d11: manifest frozen metadata,pass,results\runs\paper_suite_d11_rtqec_ai\suite_manifest.json,git=f211f182ea79aa6d342fcf1eab23448ad50b8fa4
