variant,mode,num_workers,num_jobs,round_period_us,relative_deadline_us,commit_deadline_miss_ratio,p99_response_to_commit_us,mean_response_to_commit_us,maximum_pauli_frame_lag,lag_violation_ratio,boundary_commit_success_rate,logical_error_rate,fast_selection_rate,offered_load_rho,runtime_guard_enabled,runtime_guard_quantile,integrity_passed
accurate_only,accurate_only,1,4000,6.0,48.0,0.9965,12731.335811767578,6394.601813785553,1403,0.99675,0.0,0.001,0.0,1.53658753712972,False,,True
accurate_only,accurate_only,2,4000,6.0,48.0,0.01125,49.60099105834959,11.602999866485597,12,0.04375,1.0,0.001,0.0,0.76829376856486,False,,True
accurate_only,accurate_only,3,4000,6.0,48.0,0.0025,32.90100891113279,9.829050266265869,10,0.0155,1.0,0.001,0.0,0.5121958457099067,False,,True
accurate_only,accurate_only,4,4000,6.0,48.0,0.0025,32.101006011962866,9.723775249481202,10,0.01325,1.0,0.001,0.0,0.38414688428243,False,,True
accurate_only,accurate_only,5,4000,6.0,48.0,0.0025,32.101006011962866,9.715925270080566,10,0.01325,1.0,0.001,0.0,0.307317507425944,False,,True
accurate_only,accurate_only,6,4000,6.0,48.0,0.0025,32.101006011962866,9.71510027694702,10,0.01325,1.0,0.001,0.0,0.2560979228549533,False,,True
commit_frontier,commit_frontier,1,4000,6.0,48.0,0.99475,6791.378382573561,3374.270971984075,865,0.997,0.0,0.023,0.1885,1.2848795532029518,False,,True
commit_frontier,commit_frontier,2,4000,6.0,48.0,0.006,41.96460759088888,10.341640176074623,11,0.02825,1.0,0.00125,0.036,0.7205426282263937,False,,True
commit_frontier,commit_frontier,3,4000,6.0,48.0,0.0025,32.29703302355233,9.301023720495095,10,0.01325,1.0,0.00125,0.03525,0.4811461502103534,False,,True
commit_frontier,commit_frontier,4,4000,6.0,48.0,0.0025,31.70299407958905,9.24401610728292,10,0.0125,1.0,0.00125,0.0355,0.3606883028714341,False,,True
commit_frontier,commit_frontier,5,4000,6.0,48.0,0.0025,31.70299407958905,9.240200215852465,10,0.0125,1.0,0.00125,0.0355,0.2885506422971473,False,,True
commit_frontier,commit_frontier,6,4000,6.0,48.0,0.0025,31.70299407958905,9.240200215852465,10,0.0125,1.0,0.00125,0.0355,0.2404588685809561,False,,True
commit_frontier_guard_q95,commit_frontier_guard,1,4000,6.0,48.0,0.99475,6791.378382573561,3374.270971984075,865,0.997,0.0,0.023,0.1885,1.2848795532029518,True,0.95,True
commit_frontier_guard_q95,commit_frontier_guard,2,4000,6.0,48.0,0.006,41.96460759088888,10.341640176074623,11,0.02825,1.0,0.00125,0.036,0.7205426282263937,True,0.95,True
commit_frontier_guard_q95,commit_frontier_guard,3,4000,6.0,48.0,0.0025,32.29703302355233,9.301023720495095,10,0.01325,1.0,0.00125,0.03525,0.4811461502103534,True,0.95,True
commit_frontier_guard_q95,commit_frontier_guard,4,4000,6.0,48.0,0.0025,31.70299407958905,9.24401610728292,10,0.0125,1.0,0.00125,0.0355,0.3606883028714341,True,0.95,True
commit_frontier_guard_q95,commit_frontier_guard,5,4000,6.0,48.0,0.0025,31.70299407958905,9.240200215852465,10,0.0125,1.0,0.00125,0.0355,0.2885506422971473,True,0.95,True
commit_frontier_guard_q95,commit_frontier_guard,6,4000,6.0,48.0,0.0025,31.70299407958905,9.240200215852465,10,0.0125,1.0,0.00125,0.0355,0.2404588685809561,True,0.95,True
edf,edf,1,4000,6.0,48.0,0.1115,131.32697265624935,45.52397045516968,38,0.99675,0.95,0.07575,0.44025,1.002933340072632,False,,True
edf,edf,2,4000,6.0,48.0,0.005,42.50101470947264,11.36262477493286,11,0.04025,1.0,0.0015,0.001,0.7673958514531454,False,,True
edf,edf,3,4000,6.0,48.0,0.0025,32.90100891113279,9.829050266265869,10,0.0155,1.0,0.001,0.0,0.5121958457099067,False,,True
edf,edf,4,4000,6.0,48.0,0.0025,32.101006011962866,9.723775249481202,10,0.01325,1.0,0.001,0.0,0.38414688428243,False,,True
edf,edf,5,4000,6.0,48.0,0.0025,32.101006011962866,9.715925270080566,10,0.01325,1.0,0.001,0.0,0.307317507425944,False,,True
edf,edf,6,4000,6.0,48.0,0.0025,32.101006011962866,9.71510027694702,10,0.01325,1.0,0.001,0.0,0.2560979228549533,False,,True
equation_priority,rt_qec_ai,1,4000,6.0,48.0,0.9965,30068.069270765947,18579.49739688602,3967,0.997,0.0,0.023,0.1885,1.2848795532029518,False,,True
equation_priority,rt_qec_ai,2,4000,6.0,48.0,0.0125,50.1030239257819,10.830571732661582,12,0.045,1.0,0.00125,0.03625,0.720214538671947,False,,True
equation_priority,rt_qec_ai,3,4000,6.0,48.0,0.0025,32.50299697875987,9.308256005071115,10,0.0135,1.0,0.00125,0.03525,0.4811461502103534,False,,True
equation_priority,rt_qec_ai,4,4000,6.0,48.0,0.0025,31.70299407958905,9.24401610728292,10,0.0125,1.0,0.00125,0.0355,0.3606883028714341,False,,True
equation_priority,rt_qec_ai,5,4000,6.0,48.0,0.0025,31.70299407958905,9.240200215852465,10,0.0125,1.0,0.00125,0.0355,0.2885506422971473,False,,True
equation_priority,rt_qec_ai,6,4000,6.0,48.0,0.0025,31.70299407958905,9.240200215852465,10,0.0125,1.0,0.00125,0.0355,0.2404588685809561,False,,True
fast_only,fast_only,1,4000,6.0,48.0,0.0235,117.90903976440408,4.929950134277344,31,0.02775,0.95,0.1765,1.0,0.3427624899546305,False,,True
fast_only,fast_only,2,4000,6.0,48.0,0.00825,35.60399078369131,2.776249858856201,20,0.011,1.0,0.1765,1.0,0.1713812449773152,False,,True
fast_only,fast_only,3,4000,6.0,48.0,0.00775,35.60399078369131,2.7497499237060548,20,0.011,1.0,0.1765,1.0,0.1142541633182101,False,,True
fast_only,fast_only,4,4000,6.0,48.0,0.00775,35.60399078369131,2.7497499237060548,20,0.011,1.0,0.1765,1.0,0.0856906224886576,False,,True
fast_only,fast_only,5,4000,6.0,48.0,0.00775,35.60399078369131,2.7497499237060548,20,0.011,1.0,0.1765,1.0,0.0685524979909261,False,,True
fast_only,fast_only,6,4000,6.0,48.0,0.00775,35.60399078369131,2.7497499237060548,20,0.011,1.0,0.1765,1.0,0.057127081659105,False,,True
no_scheduler,rt_qec_without_scheduler,1,4000,6.0,48.0,0.99675,11076.652677683856,5544.582502587491,1275,0.997,0.0,0.001,0.0,1.4662799319657889,False,,True
no_scheduler,rt_qec_without_scheduler,2,4000,6.0,48.0,0.009,46.30099978637678,10.510511449094986,12,0.03125,1.0,0.00125,0.03575,0.7224900654841815,False,,True
no_scheduler,rt_qec_without_scheduler,3,4000,6.0,48.0,0.0025,32.401006011962146,9.31296284524931,10,0.0135,1.0,0.00125,0.0355,0.4817322658359576,False,,True
no_scheduler,rt_qec_without_scheduler,4,4000,6.0,48.0,0.0025,31.70299407958905,9.254282947742958,10,0.0125,1.0,0.00125,0.0355,0.3612991993769682,False,,True
no_scheduler,rt_qec_without_scheduler,5,4000,6.0,48.0,0.0025,31.70299407958905,9.248407974445842,10,0.0125,1.0,0.00125,0.0355,0.2890393595015746,False,,True
no_scheduler,rt_qec_without_scheduler,6,4000,6.0,48.0,0.0025,31.70299407958905,9.247357981312296,10,0.0125,1.0,0.00125,0.0355,0.2408661329179788,False,,True
