shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,108.3,0,24.3,24.299999999999997,112.0,False,1,0,False,accurate,1,1,False,False,87,False,True,,,,,,,,,,,
13,91.0,108.3,125.47082838515438,0,17.17082838515438,34.47082838515438,119.0,True,2,1,False,accurate,0,0,False,False,86,False,False,,,,,,,,,,,
16,112.0,125.47082838515438,147.05416654497384,0,21.583338159819473,35.05416654497384,140.0,True,2,1,False,accurate,0,0,False,False,83,False,False,,,,,,,,,,,
17,119.0,147.05416654497384,166.4412479289373,0,19.387081383963434,47.44124792893729,147.0,True,3,2,False,accurate,1,1,False,False,82,False,False,,,,,,,,,,,
25,175.0,175.0,189.20000076293945,0,14.200000762939453,14.200000762939453,203.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,189.0,189.20000076293945,203.29999923706055,0,14.099998474121094,14.299999237060547,217.0,False,2,1,False,accurate,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.29999923706055,220.5,0,17.200000762939453,17.5,231.0,False,2,1,False,accurate,1,1,False,False,70,False,True,,,,,,,,,,,
31,217.0,220.5,231.79999923706055,0,11.299999237060547,14.799999237060547,245.0,False,2,1,False,accurate,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,231.79999923706055,244.0,0,12.200000762939453,20.0,252.0,False,2,1,False,accurate,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,244.0,259.00000381469727,0,15.000003814697266,21.000003814697266,266.0,False,2,1,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,245.0,259.00000381469727,271.8000030517578,0,12.799999237060547,26.800003051757812,273.0,False,2,1,False,accurate,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,271.8000030517578,286.10000228881836,0,14.299999237060547,34.10000228881836,280.0,True,3,2,False,accurate,0,0,False,False,63,False,False,,,,,,,,,,,
38,266.0,286.10000228881836,303.9000015258789,0,17.799999237060547,37.900001525878906,294.0,True,3,2,False,accurate,0,0,False,False,61,False,False,,,,,,,,,,,
