shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,89.0599983215332,0,5.059998321533204,5.0599983215332,112.0,False,1,0,False,fast,0,1,True,False,87,False,True,,,,,,,,,,,
13,91.0,91.0,95.69417000671228,0,4.694170006712284,4.694170006712284,119.0,False,1,0,False,fast,0,0,False,False,86,False,True,,,,,,,,,,,
16,112.0,112.0,117.33332927425701,0,5.333329274257017,5.333329274257011,140.0,False,1,0,False,fast,0,0,False,False,83,False,True,,,,,,,,,,,
17,119.0,119.0,123.86833170930545,0,4.868331709305448,4.868331709305451,147.0,False,1,0,False,fast,0,1,True,False,82,False,True,,,,,,,,,,,
25,175.0,175.0,179.50000381469727,0,4.500003814697266,4.500003814697266,203.0,False,1,0,False,fast,0,1,True,False,74,False,True,,,,,,,,,,,
27,189.0,189.0,193.29999923706055,0,4.299999237060547,4.299999237060547,217.0,False,1,0,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.0,207.50000381469727,0,4.500003814697266,4.500003814697266,231.0,False,1,0,False,fast,0,1,True,False,70,False,True,,,,,,,,,,,
31,217.0,217.0,221.39999771118164,0,4.399997711181641,4.399997711181641,245.0,False,1,0,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,224.0,228.60000228881836,0,4.600002288818359,4.600002288818359,252.0,False,1,0,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,238.0,242.89999771118164,0,4.899997711181641,4.899997711181641,266.0,False,1,0,False,fast,0,1,True,False,65,False,True,,,,,,,,,,,
35,245.0,245.0,249.20000076293945,0,4.200000762939453,4.200000762939453,273.0,False,1,0,False,fast,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,252.0,256.5,0,4.5,4.5,280.0,False,1,0,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,266.0,266.0,270.5999984741211,0,4.599998474121094,4.599998474121094,294.0,False,1,0,False,fast,0,0,False,False,61,False,True,,,,,,,,,,,
