shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,108.6,0,24.6,24.599999999999994,112.0,False,1,0,False,accurate,1,1,False,False,87,False,True,,,,,,,,,,,
13,91.0,108.6,126.07082838515437,0,17.47082838515438,35.07082838515437,119.0,True,2,1,False,accurate,0,0,False,False,86,False,False,,,,,,,,,,,
16,112.0,126.07082838515437,147.95416654497384,0,21.883338159819473,35.954166544973845,140.0,True,2,1,False,accurate,0,0,False,False,83,False,False,,,,,,,,,,,
17,119.0,147.95416654497384,167.64124792893728,0,19.687081383963434,48.641247928937275,147.0,True,3,2,False,accurate,1,1,False,False,82,False,False,,,,,,,,,,,
25,175.0,175.0,189.50000076293946,0,14.500000762939454,14.500000762939464,203.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,189.0,189.50000076293946,203.89999923706057,0,14.399998474121094,14.89999923706057,217.0,False,2,1,False,accurate,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.89999923706057,221.40000000000003,0,17.500000762939454,18.400000000000034,231.0,False,2,1,False,accurate,1,1,False,False,70,False,True,,,,,,,,,,,
31,217.0,221.40000000000003,228.7624995231629,0,7.362499523162842,11.762499523162887,245.0,False,2,1,False,accurate,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,228.7624995231629,236.38249983549122,0,7.6200003123283295,12.382499835491217,252.0,False,2,1,False,accurate,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,238.0,253.30000381469728,0,15.300003814697266,15.300003814697277,266.0,False,1,0,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,245.0,253.30000381469728,266.40000305175784,0,13.099999237060548,21.400003051757835,273.0,False,2,1,False,accurate,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,266.40000305175784,281.0000022888184,0,14.599999237060548,29.000002288818393,280.0,True,3,2,False,accurate,0,0,False,False,63,False,False,,,,,,,,,,,
38,266.0,281.0000022888184,299.10000152587895,0,18.099999237060548,33.10000152587895,294.0,True,3,2,False,accurate,0,0,False,False,61,False,False,,,,,,,,,,,
41,287.0,299.10000152587895,318.00000000000006,0,18.899998474121094,31.000000000000057,315.0,True,2,1,False,accurate,0,0,False,False,58,False,False,,,,,,,,,,,
42,294.0,318.00000000000006,340.30000000000007,0,22.3,46.30000000000007,322.0,True,3,2,False,accurate,0,0,False,False,57,False,False,,,,,,,,,,,
44,308.0,340.30000000000007,364.3999992370606,0,24.099999237060548,56.39999923706063,336.0,True,3,2,False,accurate,0,0,False,False,55,False,False,,,,,,,,,,,
46,322.0,364.3999992370606,386.29999771118173,0,21.899998474121094,64.29999771118173,350.0,True,3,2,False,accurate,0,0,False,False,53,False,False,,,,,,,,,,,
47,329.0,386.29999771118173,397.92399881756313,0,11.624001106381412,68.92399881756313,357.0,True,4,3,False,accurate,0,0,False,False,52,False,False,,,,,,,,,,,
49,343.0,397.92399881756313,411.12400034344205,0,13.200001525878907,68.12400034344205,371.0,True,4,3,False,accurate,0,0,False,False,50,False,False,,,,,,,,,,,
50,350.0,411.12400034344205,427.32400186932097,0,16.200001525878907,77.32400186932097,378.0,True,5,4,False,accurate,1,1,False,False,49,False,False,,,,,,,,,,,
51,357.0,427.32400186932097,436.39200216162214,0,9.068000292301168,79.39200216162214,385.0,True,6,5,True,accurate,0,0,False,False,48,False,False,,,,,,,,,,,
52,364.0,436.39200216162214,452.09199605810653,0,15.699993896484376,88.09199605810653,392.0,True,7,6,True,accurate,1,1,False,False,47,False,False,,,,,,,,,,,
55,385.0,452.09199605810653,464.99199453222764,0,12.899998474121094,79.99199453222764,413.0,True,7,6,True,accurate,0,0,False,False,44,False,False,,,,,,,,,,,
