shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,93.97,0,9.97,9.969999999999999,112.0,False,1,0,False,accurate,1,1,False,False,87,False,True,,,,,,,,,,,
13,91.0,93.97,96.09766800268491,0,2.1276680026849135,5.097668002684912,119.0,False,2,1,False,fast,0,0,False,False,86,False,True,,,,,,,,,,,
16,112.0,112.0,120.88333526392779,0,8.883335263927789,8.88333526392779,140.0,False,1,0,False,accurate,0,0,False,False,83,False,True,,,,,,,,,,,
17,119.0,120.88333526392779,128.88816781751316,0,8.004832553585373,9.888167817513164,147.0,False,2,1,False,accurate,1,1,False,False,82,False,True,,,,,,,,,,,
25,175.0,175.0,180.93000030517578,0,5.930000305175781,5.930000305175781,203.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,189.0,189.0,190.96999969482422,0,1.9699996948242189,1.9699996948242244,217.0,False,1,0,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.0,210.13000030517577,0,7.130000305175781,7.13000030517577,231.0,False,1,0,False,accurate,1,1,False,False,70,False,True,,,,,,,,,,,
31,217.0,217.0,219.00999908447267,0,2.009999084472656,2.0099990844726676,245.0,False,1,0,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,224.0,226.09000091552736,0,2.0900009155273436,2.090000915527355,252.0,False,1,0,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,238.0,244.2500015258789,0,6.250001525878907,6.250001525878901,266.0,False,1,0,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,245.0,245.0,246.93000030517578,0,1.9300003051757812,1.9300003051757812,273.0,False,1,0,False,fast,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,252.0,254.05,0,2.05,2.0500000000000114,280.0,False,1,0,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,266.0,266.0,268.0899993896484,0,2.0899993896484377,2.089999389648426,294.0,False,1,0,False,fast,0,0,False,False,61,False,True,,,,,,,,,,,
41,287.0,287.0,289.05,0,2.05,2.0500000000000114,315.0,False,1,0,False,fast,0,0,False,False,58,False,True,,,,,,,,,,,
42,294.0,294.0,303.05,0,9.05,9.050000000000011,322.0,False,1,0,False,accurate,0,0,False,False,57,False,True,,,,,,,,,,,
