shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,108.3,0,24.3,24.299999999999997,112.0,False,1,0,False,accurate,1,1,False,False,87,False,True,,,,,,,,,,,
13,91.0,108.3,112.99417000671228,0,4.694170006712284,21.99417000671228,119.0,False,2,1,False,fast,0,0,False,False,86,False,True,,,,,,,,,,,
16,112.0,112.99417000671228,134.57750816653174,0,21.583338159819473,22.577508166531743,140.0,False,2,1,False,accurate,0,0,False,False,83,False,True,,,,,,,,,,,
17,119.0,134.57750816653174,153.9645895504952,0,19.387081383963434,34.96458955049519,147.0,True,2,1,False,accurate,1,1,False,False,82,False,False,,,,,,,,,,,
25,175.0,175.0,189.20000076293945,0,14.200000762939453,14.200000762939453,203.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,189.0,189.20000076293945,193.5,0,4.299999237060547,4.5,217.0,False,2,1,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.0,220.20000076293945,0,17.200000762939453,17.200000762939453,231.0,False,1,0,False,accurate,1,1,False,False,70,False,True,,,,,,,,,,,
31,217.0,220.20000076293945,224.5999984741211,0,4.399997711181641,7.599998474121094,245.0,False,2,1,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,224.5999984741211,229.20000076293945,0,4.600002288818359,5.200000762939453,252.0,False,2,1,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,238.0,253.00000381469727,0,15.000003814697266,15.000003814697266,266.0,False,1,0,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,245.0,253.00000381469727,257.2000045776367,0,4.200000762939453,12.200004577636719,273.0,False,2,1,False,fast,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,257.2000045776367,261.7000045776367,0,4.5,9.700004577636719,280.0,False,3,2,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,266.0,266.0,270.5999984741211,0,4.599998474121094,4.599998474121094,294.0,False,1,0,False,fast,0,0,False,False,61,False,True,,,,,,,,,,,
41,287.0,287.0,291.5,0,4.5,4.5,315.0,False,1,0,False,fast,0,0,False,False,58,False,True,,,,,,,,,,,
