logical_error_rate,mean_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_response_time_us,p95_response_time_us,p99_response_time_us,p999_response_time_us,deadline_miss_ratio,mean_backlog,p99_backlog,max_backlog,mean_pauli_frame_lag,p99_pauli_frame_lag,max_pauli_frame_lag,pauli_frame_lag_violation_ratio,boundary_commit_success_rate,fast_selection_rate,accurate_selection_rate,accept_rate,abstention_rate,false_accept_rate,accepted_error_rate,accepted_fast_logical_fail_rate,validation_pass_rate,predecode_accept_rate,mean_estimated_residual_reduction,residual_density_reduction,residual_graph_size_reduction,num_shots,num_workers,real_qec,timing_mode,mode,ai_risk_available,hard_runtime_label_valid,risk_false_negative_rate,risk_false_positive_rate,logical_error_x_latency
0.00275,15.671227884091374,24.728332171440133,32.40199775695796,54.603932224419324,66.8863041490735,178.47746467947286,471.74407872204677,502.81997321493066,0.67925,4.56125,26.0,33.0,3.56125,25.0,32.0,0.2445,0.2857142857142857,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,accurate_only,True,True,0.0,0.63625,0.043095876681251276
0.00325,15.583339348934617,24.728332171440133,32.40199775695796,54.603932224419324,65.02438000602525,171.87573104362582,462.94407567028895,494.01997016317284,0.66925,4.45725,26.0,33.0,3.45725,25.0,32.0,0.234,0.30952380952380953,0.00975,0.99025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,ai_risk,True,True,0.00075,0.62725,0.0506458528840375
0.0565,12.499736576452877,20.50100367546081,25.162875007629385,27.30008709819899,18.851764903827608,26.899994087219238,27.900005340576172,224.12509847642644,0.00675,1.8495,4.0,17.0,0.8495,3.0,16.0,0.00375,0.9761904761904762,0.19925,0.80075,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,edf,True,True,0.11025,0.54725,0.7062351165695876
0.24925,3.2742413054400803,4.700000762939453,10.502000007629347,24.202373617015656,4.140606525244202,4.900001525878906,22.100998497009254,224.12509847642644,0.0075,1.067,2.0,17.0,0.067,1.0,16.0,0.0055,0.9761904761904762,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,fast_only,True,True,0.36375,0.0,0.81610464538094
0.00275,15.2459269360585,24.780996303558343,32.30330001163475,54.90393222441932,52.703502600583825,135.5608567407917,351.69709752509976,389.63776913979274,0.607,3.7745,20.0,26.0,2.7745,19.0,25.0,0.17775,0.40476190476190477,0.0,1.0,0.169,0.831,0.21597633136094674,0.21597633136094674,0.16420118343195267,0.041,0.169,0.05411267754882575,0.05411267754882575,0.05411267754882575,4000,1,True,loop_per_shot,heuristic_pre_fixed,True,True,0.0,0.63625,0.04192629907416087
0.00275,3.7606777948641987,10.13056837655703,13.170119702529906,20.091999389649757,4.0212975783227245,11.301090037873287,16.162271553187523,26.120068742668238,0.0,1.0875,2.0,3.0,0.0875,1.0,2.0,0.0,1.0,0.63675,0.36325,1.0,0.0,0.36375,0.36375,0.24925,1.0,1.0,0.5999999999999998,0.5999999999999998,0.5999999999999998,4000,1,True,loop_per_shot,oracle_predecoder,True,True,0.0005,0.0,0.010341863935876546
0.00275,8.8061851129592,24.731921277006407,32.40199775695796,54.603932224419324,21.81296190444727,71.50875221054412,301.95107941632153,422.04388935666105,0.16975,2.06325,19.0,30.0,1.06325,18.0,29.0,0.04675,0.8571428571428571,0.63625,0.36375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,oracle_risk,True,True,0.0,0.0,0.024217009060637798
0.24925,3.2742413054400803,4.700000762939453,10.502000007629347,24.202373617015656,4.140606525244202,4.900001525878906,22.100998497009254,224.12509847642644,0.0075,1.067,2.0,17.0,0.067,1.0,16.0,0.0055,0.9761904761904762,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,risk_heuristic,True,True,0.36375,0.0,0.81610464538094
0.007,15.042107183016677,24.780996303558343,32.30330001163475,54.90393222441932,49.59674210949754,130.16811843156864,313.2705219398281,354.6311106031997,0.58825,3.61325,18.0,24.0,2.61325,17.0,23.0,0.16325,0.42857142857142855,0.0345,0.9655,0.168,0.832,0.21428571428571427,0.21428571428571427,0.16220238095238096,0.04075,0.168,0.05384248523712158,0.05384248523712158,0.05384248523712158,4000,1,True,loop_per_shot,rt_qec,True,True,0.00575,0.6075,0.10529475028111675
0.0055,15.141705942295964,24.780996303558343,32.30330001163475,54.90393222441932,49.867979305308914,130.16811843156864,313.2705219398281,354.6311106031997,0.593,3.625,18.0,24.0,2.625,17.0,23.0,0.16325,0.42857142857142855,0.0175,0.9825,0.168,0.832,0.21428571428571427,0.21428571428571427,0.16220238095238096,0.04075,0.168,0.05384248523712158,0.05384248523712158,0.05384248523712158,4000,1,True,loop_per_shot,rt_qec_ai,True,True,0.00375,0.6225,0.0832793826826278
