shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,94.08750193119049,0,10.087501931190491,10.087501931190488,112.0,False,1,0,False,accurate,0,0,False,False,87,False,True,,,,,,,,,,,
13,91.0,91.0,107.67833543499312,1,16.67833543499312,16.678335434993116,119.0,False,2,1,False,accurate,0,0,False,False,86,False,True,,,,,,,,,,,
16,112.0,112.0,121.99399873290461,0,9.993998732904611,9.993998732904615,140.0,False,1,0,False,accurate,0,0,False,False,83,False,True,,,,,,,,,,,
17,119.0,119.0,137.36249989569188,1,18.362499895691872,18.362499895691883,147.0,False,2,1,False,accurate,1,1,False,False,82,False,True,,,,,,,,,,,
25,175.0,175.0,188.3999984741211,0,13.399998474121094,13.399998474121105,203.0,False,1,0,False,accurate,0,0,False,False,74,False,True,,,,,,,,,,,
27,189.0,189.0,201.8999984741211,1,12.899998474121094,12.899998474121105,217.0,False,1,0,False,accurate,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.0,216.8999984741211,0,13.899998474121094,13.899998474121105,231.0,False,1,0,False,accurate,0,0,False,False,70,False,True,,,,,,,,,,,
31,217.0,217.0,234.59999923706056,1,17.599999237060548,17.59999923706056,245.0,False,1,0,False,accurate,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,224.0,237.3,0,13.3,13.300000000000011,252.0,False,2,1,False,accurate,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,238.0,262.9999969482422,1,24.999996948242188,24.9999969482422,266.0,False,1,0,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,245.0,245.0,264.00000076293946,0,19.000000762939454,19.000000762939464,273.0,False,2,1,False,accurate,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,262.9999969482422,277.6,1,14.600003051757813,25.600000000000023,280.0,False,3,2,False,accurate,0,0,False,False,63,False,True,,,,,,,,,,,
38,266.0,266.0,278.8999984741211,0,12.899998474121094,12.899998474121105,294.0,False,2,1,False,accurate,1,1,False,False,61,False,True,,,,,,,,,,,
41,287.0,287.0,300.00000076293946,1,13.000000762939454,13.000000762939464,315.0,False,1,0,False,accurate,1,1,False,False,58,False,True,,,,,,,,,,,
42,294.0,294.0,300.7899995803833,0,6.789999580383301,6.7899995803833235,322.0,False,2,1,False,accurate,1,1,False,False,57,False,True,,,,,,,,,,,
44,308.0,308.0,323.90000228881837,1,15.90000228881836,15.90000228881837,336.0,False,1,0,False,accurate,1,1,False,False,55,False,True,,,,,,,,,,,
46,322.0,322.0,334.8999984741211,0,12.899998474121094,12.899998474121105,350.0,False,2,1,False,accurate,0,0,False,False,53,False,True,,,,,,,,,,,
47,329.0,329.0,340.50000076293946,1,11.500000762939454,11.500000762939464,357.0,False,2,1,False,accurate,0,0,False,False,52,False,True,,,,,,,,,,,
49,343.0,343.0,355.2000015258789,0,12.200001525878907,12.200001525878918,371.0,False,1,0,False,accurate,0,0,False,False,50,False,True,,,,,,,,,,,
50,350.0,350.0,355.2999984741211,1,5.299998474121094,5.299998474121082,378.0,False,2,1,False,accurate,1,1,False,False,49,False,True,,,,,,,,,,,
51,357.0,357.0,374.59999923706056,0,17.599999237060548,17.59999923706056,385.0,False,1,0,False,accurate,0,0,False,False,48,False,True,,,,,,,,,,,
52,364.0,364.0,386.3,1,22.3,22.30000000000001,392.0,False,2,1,False,accurate,1,1,False,False,47,False,True,,,,,,,,,,,
55,385.0,385.0,402.40000228881837,0,17.40000228881836,17.40000228881837,413.0,False,2,1,False,accurate,1,1,False,False,44,False,True,,,,,,,,,,,
58,406.0,406.0,419.40000228881837,1,13.40000228881836,13.40000228881837,434.0,False,1,0,False,accurate,0,0,False,False,41,False,True,,,,,,,,,,,
60,420.0,420.0,438.3999984741211,0,18.399998474121094,18.399998474121105,448.0,False,1,0,False,accurate,0,0,False,False,39,False,True,,,,,,,,,,,
62,434.0,434.0,447.4999969482422,1,13.499996948242188,13.499996948242199,462.0,False,2,1,False,accurate,0,0,False,False,37,False,True,,,,,,,,,,,
64,448.0,448.0,455.1999998629093,0,7.199999862909317,7.199999862909294,476.0,False,1,0,False,accurate,0,0,False,False,35,False,True,,,,,,,,,,,
65,455.0,455.0,461.9500016844273,1,6.950001684427297,6.9500016844273205,483.0,False,2,1,False,accurate,0,0,False,False,34,False,True,,,,,,,,,,,
72,504.0,504.0,521.0000007629394,0,17.000000762939454,17.000000762939408,532.0,False,1,0,False,accurate,0,0,False,False,27,False,True,,,,,,,,,,,
76,532.0,532.0,548.5000007629394,1,16.500000762939454,16.500000762939408,560.0,False,1,0,False,accurate,1,1,False,False,23,False,True,,,,,,,,,,,
78,546.0,546.0,559.7000015258789,0,13.700001525878907,13.70000152587886,574.0,False,2,1,False,accurate,0,0,False,False,21,False,True,,,,,,,,,,,
79,553.0,553.0,565.5000007629394,1,12.500000762939454,12.500000762939408,581.0,False,2,1,False,accurate,0,0,False,False,20,False,True,,,,,,,,,,,
80,560.0,560.0,573.2999961853027,0,13.299996185302735,13.299996185302689,588.0,False,2,1,False,accurate,1,1,False,False,19,False,True,,,,,,,,,,,
83,581.0,581.0,595.8000038146972,1,14.800003814697266,14.80000381469722,609.0,False,1,0,False,accurate,0,0,False,False,16,False,True,,,,,,,,,,,
84,588.0,588.0,609.8999946594238,0,21.89999465942383,21.899994659423783,616.0,False,2,1,False,accurate,0,0,False,False,15,False,True,,,,,,,,,,,
92,644.0,644.0,651.7999975621701,1,7.799997562170074,7.79999756217012,672.0,False,1,0,False,accurate,0,0,False,False,7,False,True,,,,,,,,,,,
93,651.0,651.0,663.4999969482421,0,12.499996948242188,12.499996948242142,679.0,False,2,1,False,accurate,1,1,False,False,6,False,True,,,,,,,,,,,
95,665.0,665.0,680.3000038146972,1,15.300003814697266,15.30000381469722,693.0,False,1,0,False,accurate,0,0,False,False,4,False,True,,,,,,,,,,,
97,679.0,679.0,690.8500012362003,0,11.850001236200342,11.850001236200342,707.0,False,2,1,False,accurate,0,0,False,False,2,True,True,,,,,,,,,,,
98,686.0,686.0,704.5999992370605,1,18.599999237060548,18.5999992370605,714.0,False,2,1,False,accurate,0,0,False,False,1,True,True,,,,,,,,,,,
100,700.0,700.0,720.0000007629394,0,20.000000762939454,20.000000762939408,728.0,False,2,1,False,accurate,0,0,False,False,99,False,True,,,,,,,,,,,
101,707.0,707.0,720.8000038146972,1,13.800003814697266,13.80000381469722,735.0,False,2,1,False,accurate,1,1,False,False,98,False,True,,,,,,,,,,,
103,721.0,721.0,734.2000015258789,0,13.200001525878907,13.20000152587886,749.0,False,1,0,False,accurate,1,1,False,False,96,False,True,,,,,,,,,,,
109,763.0,763.0,778.0000007629394,1,15.000000762939454,15.000000762939408,791.0,False,1,0,False,accurate,0,0,False,False,90,False,True,,,,,,,,,,,
111,777.0,777.0,790.6999977111816,0,13.699997711181641,13.699997711181595,805.0,False,2,1,False,accurate,0,0,False,False,88,False,True,,,,,,,,,,,
112,784.0,784.0,796.5999992370605,1,12.599999237060548,12.599999237060501,812.0,False,2,1,False,accurate,0,0,False,False,87,False,True,,,,,,,,,,,
114,798.0,798.0,814.2000015258789,0,16.200001525878907,16.20000152587886,826.0,False,1,0,False,accurate,0,0,False,False,85,False,True,,,,,,,,,,,
117,819.0,819.0,842.0999992370605,1,23.099999237060548,23.0999992370605,847.0,False,1,0,False,accurate,0,0,False,False,82,False,True,,,,,,,,,,,
119,833.0,833.0,839.2399995803833,0,6.2399995803833015,6.239999580383255,861.0,False,2,1,False,accurate,0,0,False,False,80,False,True,,,,,,,,,,,
125,875.0,875.0,891.0000007629394,0,16.000000762939454,16.000000762939408,903.0,False,1,0,False,accurate,0,0,False,False,74,False,True,,,,,,,,,,,
128,896.0,896.0,914.0000007629394,1,18.000000762939454,18.000000762939408,924.0,False,1,0,False,accurate,1,1,False,False,71,False,True,,,,,,,,,,,
