shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,85.52600067138673,0,1.526000671386719,1.5260006713867256,112.0,False,1,0,False,fast,0,0,False,False,87,False,True,,,,,,,,,,,
13,91.0,91.0,92.42900200104714,1,1.429002001047138,1.429002001047138,119.0,False,1,0,False,fast,0,0,False,False,86,False,True,,,,,,,,,,,
16,112.0,112.0,113.44466797097525,0,1.4446679709752426,1.444667970975246,140.0,False,1,0,False,fast,0,0,False,False,83,False,True,,,,,,,,,,,
17,119.0,119.0,126.47499995827675,1,7.474999958276749,7.474999958276754,147.0,False,1,0,False,accurate,1,1,False,False,82,False,True,,,,,,,,,,,
25,175.0,175.0,176.37000122070313,0,1.3700012207031251,1.3700012207031307,203.0,False,1,0,False,fast,0,0,False,False,74,False,True,,,,,,,,,,,
27,189.0,189.0,190.41000061035157,1,1.4100006103515625,1.4100006103515739,217.0,False,1,0,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.0,204.36999969482423,0,1.3699996948242188,1.3699996948242301,231.0,False,1,0,False,fast,0,0,False,False,70,False,True,,,,,,,,,,,
31,217.0,217.0,218.36999969482423,1,1.3699996948242188,1.3699996948242301,245.0,False,1,0,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,224.0,225.3300003051758,0,1.3300003051757814,1.330000305175787,252.0,False,1,0,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,238.0,248.12999877929687,1,10.129998779296876,10.12999877929687,266.0,False,1,0,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,245.0,245.0,246.3300018310547,0,1.3300018310546875,1.3300018310546875,273.0,False,2,1,False,fast,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,252.0,253.36999969482423,0,1.3699996948242188,1.3699996948242301,280.0,False,1,0,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,266.0,266.0,271.2899993896484,1,5.289999389648438,5.289999389648415,294.0,False,1,0,False,accurate,1,1,False,False,61,False,True,,,,,,,,,,,
41,287.0,287.0,292.33000030517576,0,5.330000305175782,5.3300003051757585,315.0,False,1,0,False,accurate,1,1,False,False,58,False,True,,,,,,,,,,,
42,294.0,294.0,298.9699996948242,1,4.969999694824219,4.969999694824196,322.0,False,1,0,False,accurate,1,1,False,False,57,False,True,,,,,,,,,,,
44,308.0,308.0,314.49000091552733,0,6.490000915527344,6.490000915527332,336.0,False,1,0,False,accurate,1,1,False,False,55,False,True,,,,,,,,,,,
46,322.0,322.0,323.36999969482423,1,1.3699996948242188,1.3699996948242301,350.0,False,1,0,False,fast,0,0,False,False,53,False,True,,,,,,,,,,,
47,329.0,329.0,330.36999969482423,0,1.3699996948242188,1.3699996948242301,357.0,False,1,0,False,fast,0,0,False,False,52,False,True,,,,,,,,,,,
49,343.0,343.0,344.33000030517576,1,1.3300003051757814,1.3300003051757585,371.0,False,1,0,False,fast,0,0,False,False,50,False,True,,,,,,,,,,,
50,350.0,350.0,355.24999847412107,0,5.249998474121094,5.249998474121071,378.0,False,1,0,False,accurate,1,1,False,False,49,False,True,,,,,,,,,,,
51,357.0,357.0,358.3299987792969,1,1.329998779296875,1.3299987792968864,385.0,False,1,0,False,fast,0,0,False,False,48,False,True,,,,,,,,,,,
52,364.0,364.0,373.05,0,9.05,9.050000000000011,392.0,False,1,0,False,accurate,1,1,False,False,47,False,True,,,,,,,,,,,
55,385.0,385.0,392.09000091552736,1,7.0900009155273445,7.090000915527355,413.0,False,1,0,False,accurate,1,1,False,False,44,False,True,,,,,,,,,,,
58,406.0,406.0,407.3300018310547,0,1.3300018310546875,1.3300018310546875,434.0,False,1,0,False,fast,0,0,False,False,41,False,True,,,,,,,,,,,
60,420.0,420.0,421.33000030517576,1,1.3300003051757814,1.3300003051757585,448.0,False,1,0,False,fast,0,0,False,False,39,False,True,,,,,,,,,,,
62,434.0,434.0,435.33000030517576,0,1.3300003051757814,1.3300003051757585,462.0,False,1,0,False,fast,0,0,False,False,37,False,True,,,,,,,,,,,
64,448.0,448.0,449.36999969482423,1,1.3699996948242188,1.3699996948242301,476.0,False,1,0,False,fast,0,0,False,False,35,False,True,,,,,,,,,,,
65,455.0,455.0,456.36999969482423,0,1.3699996948242188,1.3699996948242301,483.0,False,1,0,False,fast,0,0,False,False,34,False,True,,,,,,,,,,,
72,504.0,504.0,505.36999969482423,1,1.3699996948242188,1.3699996948242301,532.0,False,1,0,False,fast,0,0,False,False,27,False,True,,,,,,,,,,,
