shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,84.0,84.0,87.1900016784668,0,3.190001678466797,3.1900016784667997,112.0,False,1,0,False,fast,0,0,False,False,87,False,True,,,,,,,,,,,
13,91.0,91.0,93.94750500261785,1,2.947505002617845,2.947505002617845,119.0,False,1,0,False,fast,0,0,False,False,86,False,True,,,,,,,,,,,
16,112.0,112.0,114.9866699274381,0,2.9866699274381063,2.9866699274381006,140.0,False,1,0,False,fast,0,0,False,False,83,False,True,,,,,,,,,,,
17,119.0,119.0,123.33916504363219,1,4.3391650436321925,4.3391650436321925,147.0,False,1,0,False,fast,0,1,True,False,82,False,True,,,,,,,,,,,
25,175.0,175.0,177.8000030517578,0,2.8000030517578125,2.8000030517578125,203.0,False,1,0,False,fast,0,0,False,False,74,False,True,,,,,,,,,,,
27,189.0,189.0,191.9000015258789,1,2.9000015258789062,2.9000015258789062,217.0,False,1,0,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,203.0,203.0,205.79999923706055,0,2.799999237060547,2.799999237060547,231.0,False,1,0,False,fast,0,0,False,False,70,False,True,,,,,,,,,,,
31,217.0,217.0,219.79999923706055,1,2.799999237060547,2.799999237060547,245.0,False,1,0,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,224.0,224.0,226.70000076293945,0,2.700000762939453,2.700000762939453,252.0,False,1,0,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,238.0,238.0,240.79999923706055,1,2.799999237060547,2.799999237060547,266.0,False,1,0,False,fast,0,1,True,False,65,False,True,,,,,,,,,,,
35,245.0,245.0,247.70000457763672,0,2.7000045776367188,2.7000045776367188,273.0,False,1,0,False,fast,0,0,False,False,64,False,True,,,,,,,,,,,
36,252.0,252.0,254.79999923706055,1,2.799999237060547,2.799999237060547,280.0,False,1,0,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,266.0,266.0,268.70000076293945,0,2.700000762939453,2.700000762939453,294.0,False,1,0,False,fast,0,1,True,False,61,False,True,,,,,,,,,,,
