logical_error_rate,mean_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_response_time_us,p95_response_time_us,p99_response_time_us,p999_response_time_us,deadline_miss_ratio,mean_backlog,p99_backlog,max_backlog,mean_pauli_frame_lag,p99_pauli_frame_lag,max_pauli_frame_lag,pauli_frame_lag_violation_ratio,boundary_commit_success_rate,fast_selection_rate,accurate_selection_rate,accept_rate,abstention_rate,false_accept_rate,accepted_error_rate,accepted_fast_logical_fail_rate,validation_pass_rate,predecode_accept_rate,mean_estimated_residual_reduction,residual_density_reduction,residual_graph_size_reduction,num_shots,num_workers,real_qec,timing_mode,mode,ai_risk_available,hard_runtime_label_valid,risk_false_negative_rate,risk_false_positive_rate,logical_error_x_latency
0.00275,15.806422329033989,24.55583266377448,34.000999984741185,59.80336054053409,16.424309517248798,27.604998588561983,38.48813215268987,59.80336054053409,0.04675,1.70275,4.0,5.0,0.70275,3.0,4.0,0.0,0.9523809523809523,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,2,True,loop_per_shot,accurate_only,True,True,0.0,0.63725,0.04346766140484347
0.00275,15.733566181501773,24.55583266377448,34.000999984741185,59.80336054053409,16.347635872463165,27.599998474121094,38.48813215268987,59.80336054053409,0.0465,1.69975,4.0,5.0,0.69975,3.0,4.0,0.0,0.9523809523809523,0.0085,0.9915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,2,True,loop_per_shot,ai_risk,True,True,0.00025,0.629,0.043267306999129874
0.01225,14.833367650117143,22.491293037543702,26.299999237060547,27.908400236445708,15.155555764770893,23.099998474121094,26.61905855415994,27.97502524627467,0.0,1.6365,3.0,4.0,0.6365,2.0,3.0,0.0,1.0,0.03275,0.96725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,2,True,loop_per_shot,edf,True,True,0.032,0.6365,0.18170875371393502
0.25575,3.1205783484186296,4.099998474121094,6.400626510620103,37.304799240115464,3.120578348418615,4.099998474121094,6.400626510620099,37.304799240115464,0.0015,1.01475,2.0,2.0,0.01475,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,2,True,loop_per_shot,fast_only,True,True,0.36275,0.0,0.7980879126080644
0.00275,15.417346172099325,24.702376168987392,34.3,60.103360540534084,15.994751918381523,27.03807906623657,38.10020376492124,60.103360540537,0.04425,1.70025,3.0,5.0,0.70025,2.0,4.0,0.0,0.9523809523809523,0.0,1.0,0.161,0.839,0.234472049689441,0.234472049689441,0.18788819875776397,0.0355,0.161,0.05150379378050566,0.05150379378050566,0.05150379378050566,4000,2,True,loop_per_shot,heuristic_pre_fixed,True,True,0.0,0.63725,0.04239770197327314
0.00275,3.7233362077084156,10.072443573892134,13.890799407958966,24.171344216213637,3.7256732078976076,10.079651136908854,13.970501205444368,24.171344216210727,0.00025,1.082,2.0,3.0,0.082,1.0,2.0,0.0,1.0,0.6375,0.3625,1.0,0.0,0.36275,0.36275,0.25575,1.0,1.0,0.5999999999999998,0.5999999999999998,0.5999999999999998,4000,2,True,loop_per_shot,oracle_predecoder,True,True,0.00025,0.0,0.010239174571198143
0.00275,8.71309051927104,24.561563674410174,34.30600299835191,63.160534330943506,9.031278966412192,26.16397211157272,38.099998512268066,63.16053433094373,0.0375,1.3265,3.0,4.0,0.3265,2.0,3.0,0.0,0.9523809523809523,0.63725,0.36275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,2,True,loop_per_shot,oracle_risk,True,True,0.0,0.0,0.02396099892799536
0.25575,3.1205783484186296,4.099998474121094,6.400626510620103,37.304799240115464,3.120578348418615,4.099998474121094,6.400626510620099,37.304799240115464,0.0015,1.01475,2.0,2.0,0.01475,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,2,True,loop_per_shot,risk_heuristic,True,True,0.36275,0.0,0.7980879126080644
0.00825,15.1793770436846,24.682983364274058,33.963398715972815,60.103360540534084,15.734000903719336,26.887875594162686,37.98300130335364,60.103360540537,0.04225,1.68825,3.0,5.0,0.68825,2.0,4.0,0.0,0.9523809523809523,0.0355,0.9645,0.161,0.839,0.234472049689441,0.234472049689441,0.18788819875776397,0.0355,0.161,0.05150379378050566,0.05150379378050566,0.05150379378050566,4000,2,True,loop_per_shot,rt_qec,True,True,0.00675,0.6085,0.12522986061039795
0.00275,15.380043669467184,24.682983364274058,33.963398715972815,60.103360540534084,15.949774416893788,26.908810715398428,37.98300130335364,60.103360540537,0.0435,1.69875,3.0,5.0,0.69875,2.0,4.0,0.0,0.9523809523809523,0.00475,0.99525,0.161,0.839,0.234472049689441,0.234472049689441,0.18788819875776397,0.0355,0.161,0.05150379378050566,0.05150379378050566,0.05150379378050566,4000,2,True,loop_per_shot,rt_qec_ai,True,True,0.0005,0.633,0.042295120091034755
0.00825,15.174488861907111,24.682983364274058,33.963398715972815,60.103360540534084,15.72859954006303,26.887875594162686,37.98300130335364,60.103360540537,0.04225,1.68825,3.0,5.0,0.68825,2.0,4.0,0.0,0.9523809523809523,0.0355,0.9645,0.1625,0.8375,0.23692307692307693,0.23692307692307693,0.19076923076923077,0.0355,0.1625,0.05187083922922611,0.05187083922922611,0.05187083922922611,4000,2,True,loop_per_shot,rt_qec_without_abstention,True,True,0.00675,0.6085,0.12518953311073366
0.00825,15.1793770436846,24.682983364274058,33.963398715972815,60.103360540534084,15.734000903719336,26.887875594162686,37.98300130335364,60.103360540537,0.04225,1.68825,3.0,5.0,0.68825,2.0,4.0,0.0,0.9523809523809523,0.0355,0.9645,0.161,0.839,0.234472049689441,0.234472049689441,0.18788819875776397,0.0355,0.161,0.05150379378050566,0.05150379378050566,0.05150379378050566,4000,2,True,loop_per_shot,rt_qec_without_scheduler,True,True,0.00675,0.6085,0.12522986061039795
0.07275,12.079421419519269,24.349994659423828,33.55116590857503,60.05336054053409,12.415144144107362,25.25,35.92230326271016,60.05336054053409,0.032,1.52575,3.0,5.0,0.52575,2.0,4.0,0.0,0.9523809523809523,0.34475,0.65525,0.34475,0.65525,0.25308194343727336,0.25308194343727336,0.20304568527918782,0.0355,0.34475,0.09738571585938334,0.09738571585938334,0.09738571585938334,4000,2,True,loop_per_shot,rt_qec_without_validation,True,True,0.08725,0.37975,0.8787779082700268
