shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,120.0,120.0,142.10000228881836,0,22.10000228881836,22.10000228881836,160.0,False,1,0,False,accurate,0,0,False,False,87,False,True,,,,,,,,,,,
13,130.0,142.10000228881836,169.20000457763672,0,27.10000228881836,39.20000457763672,170.0,False,2,1,False,accurate,1,1,False,False,86,False,True,,,,,,,,,,,
16,160.0,169.20000457763672,187.60000228881836,0,18.39999771118164,27.60000228881836,200.0,False,2,1,False,accurate,0,0,False,False,83,False,True,,,,,,,,,,,
17,170.0,187.60000228881836,215.5,0,27.89999771118164,45.5,210.0,True,2,1,False,accurate,0,0,False,False,82,False,False,,,,,,,,,,,
25,250.0,250.0,271.0,0,21.0,21.0,290.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,270.0,271.0,290.5999984741211,0,19.599998474121094,20.599998474121094,310.0,False,2,1,False,accurate,0,0,False,False,72,False,True,,,,,,,,,,,
29,290.0,290.5999984741211,310.7999954223633,0,20.199996948242188,20.79999542236328,330.0,False,2,1,False,accurate,0,0,False,False,70,False,True,,,,,,,,,,,
31,310.0,310.7999954223633,330.6999931335449,0,19.89999771118164,20.699993133544922,350.0,False,2,1,False,accurate,0,0,False,False,68,False,True,,,,,,,,,,,
32,320.0,330.6999931335449,352.3999900817871,0,21.699996948242188,32.39999008178711,360.0,False,2,1,False,accurate,0,0,False,False,67,False,True,,,,,,,,,,,
34,340.0,352.3999900817871,379.299991607666,0,26.900001525878906,39.299991607666016,380.0,False,2,1,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,350.0,379.299991607666,404.99999237060547,0,25.700000762939453,54.99999237060547,390.0,True,3,2,False,accurate,1,1,False,False,64,False,False,,,,,,,,,,,
36,360.0,404.99999237060547,426.299991607666,0,21.299999237060547,66.29999160766602,400.0,True,3,2,False,accurate,0,0,False,False,63,False,False,,,,,,,,,,,
38,380.0,426.299991607666,459.5999946594238,0,33.30000305175781,79.59999465942383,420.0,True,3,2,False,accurate,0,0,False,False,61,False,False,,,,,,,,,,,
41,410.0,459.5999946594238,494.3999938964844,0,34.79999923706055,84.39999389648438,450.0,True,3,2,False,accurate,0,0,False,False,58,False,False,,,,,,,,,,,
42,420.0,494.3999938964844,511.69998931884766,0,17.29999542236328,91.69998931884766,460.0,True,4,3,False,accurate,0,0,False,False,57,False,False,,,,,,,,,,,
44,440.0,511.69998931884766,538.4999923706055,0,26.800003051757812,98.49999237060547,480.0,True,4,3,False,accurate,1,1,False,False,55,False,False,,,,,,,,,,,
46,460.0,538.4999923706055,561.5999908447266,0,23.099998474121094,101.59999084472656,500.0,True,4,3,False,accurate,0,0,False,False,53,False,False,,,,,,,,,,,
47,470.0,561.5999908447266,586.6999931335449,0,25.10000228881836,116.69999313354492,510.0,True,5,4,False,accurate,0,0,False,False,52,False,False,,,,,,,,,,,
49,490.0,586.6999931335449,607.9999885559082,0,21.29999542236328,117.9999885559082,530.0,True,6,5,True,accurate,0,0,False,False,50,False,False,,,,,,,,,,,
50,500.0,607.9999885559082,629.0999870300293,0,21.099998474121094,129.0999870300293,540.0,True,6,5,True,accurate,1,1,False,False,49,False,False,,,,,,,,,,,
51,510.0,629.0999870300293,649.5999870300293,0,20.5,139.5999870300293,550.0,True,7,6,True,accurate,0,0,False,False,48,False,False,,,,,,,,,,,
52,520.0,649.5999870300293,674.8999900817871,0,25.300003051757812,154.8999900817871,560.0,True,7,6,True,accurate,0,0,False,False,47,False,False,,,,,,,,,,,
55,550.0,674.8999900817871,696.1999931335449,0,21.300003051757812,146.19999313354492,590.0,True,7,6,True,accurate,0,0,False,False,44,False,False,,,,,,,,,,,
58,580.0,696.1999931335449,715.5999946594238,0,19.400001525878906,135.59999465942383,620.0,True,7,6,True,accurate,1,1,False,False,41,False,False,,,,,,,,,,,
60,600.0,715.5999946594238,734.299991607666,0,18.699996948242188,134.29999160766602,640.0,True,7,6,True,accurate,0,0,False,False,39,False,False,,,,,,,,,,,
62,620.0,734.299991607666,754.1999931335449,0,19.900001525878906,134.19999313354492,660.0,True,7,6,True,accurate,0,0,False,False,37,False,False,,,,,,,,,,,
64,640.0,754.1999931335449,784.5999946594238,0,30.400001525878906,144.59999465942383,680.0,True,7,6,True,accurate,0,0,False,False,35,False,False,,,,,,,,,,,
65,650.0,784.5999946594238,811.1999931335449,0,26.599998474121094,161.19999313354492,690.0,True,7,6,True,accurate,0,0,False,False,34,False,False,,,,,,,,,,,
72,720.0,811.1999931335449,837.1999931335449,0,26.0,117.19999313354492,760.0,True,5,4,False,accurate,1,1,False,False,27,False,False,,,,,,,,,,,
76,760.0,837.1999931335449,859.0999908447266,0,21.89999771118164,99.09999084472656,800.0,True,4,3,False,accurate,1,1,False,False,23,False,False,,,,,,,,,,,
78,780.0,859.0999908447266,877.1999893188477,0,18.099998474121094,97.19998931884766,820.0,True,5,4,False,accurate,0,0,False,False,21,False,False,,,,,,,,,,,
79,790.0,877.1999893188477,903.0999870300293,0,25.89999771118164,113.0999870300293,830.0,True,5,4,False,accurate,0,0,False,False,20,False,False,,,,,,,,,,,
80,800.0,903.0999870300293,924.7999839782715,0,21.699996948242188,124.79998397827148,840.0,True,6,5,True,accurate,0,0,False,False,19,False,False,,,,,,,,,,,
83,830.0,924.7999839782715,949.7999839782715,0,25.0,119.79998397827148,870.0,True,6,5,True,accurate,0,0,False,False,16,False,False,,,,,,,,,,,
84,840.0,949.7999839782715,968.8999862670898,0,19.10000228881836,128.89998626708984,880.0,True,6,5,True,accurate,1,1,False,False,15,False,False,,,,,,,,,,,
92,920.0,968.8999862670898,999.2999839782715,0,30.39999771118164,79.29998397827148,960.0,True,4,3,False,accurate,1,1,False,False,7,False,False,,,,,,,,,,,
93,930.0,999.2999839782715,1025.0999870300293,0,25.800003051757812,95.0999870300293,970.0,True,4,3,False,accurate,0,0,False,False,6,False,False,,,,,,,,,,,
95,950.0,1025.0999870300293,1045.6999855041504,0,20.599998474121094,95.69998550415039,990.0,True,4,3,False,accurate,0,0,False,False,4,False,False,,,,,,,,,,,
97,970.0,1045.6999855041504,1071.499984741211,0,25.799999237060547,101.49998474121094,1010.0,True,4,3,False,accurate,0,0,False,False,2,True,False,,,,,,,,,,,
98,980.0,1071.499984741211,1090.099983215332,0,18.599998474121094,110.09998321533203,1020.0,True,5,4,False,accurate,0,0,False,False,1,True,False,,,,,,,,,,,
100,1000.0,1090.099983215332,1118.599983215332,0,28.5,118.59998321533203,1040.0,True,5,4,False,accurate,1,1,False,False,99,False,False,,,,,,,,,,,
101,1010.0,1118.599983215332,1143.8999824523926,0,25.299999237060547,133.89998245239258,1050.0,True,6,5,True,accurate,0,0,False,False,98,False,False,,,,,,,,,,,
103,1030.0,1143.8999824523926,1167.6999816894531,0,23.799999237060547,137.69998168945312,1070.0,True,6,5,True,accurate,1,1,False,False,96,False,False,,,,,,,,,,,
109,1090.0,1167.6999816894531,1192.1999816894531,0,24.5,102.19998168945312,1130.0,True,5,4,False,accurate,1,1,False,False,90,False,False,,,,,,,,,,,
111,1110.0,1192.1999816894531,1213.499984741211,0,21.300003051757812,103.49998474121094,1150.0,True,5,4,False,accurate,0,0,False,False,88,False,False,,,,,,,,,,,
112,1120.0,1213.499984741211,1232.3999824523926,0,18.89999771118164,112.39998245239258,1160.0,True,5,4,False,accurate,1,1,False,False,87,False,False,,,,,,,,,,,
114,1140.0,1232.3999824523926,1261.2999801635742,0,28.89999771118164,121.29998016357422,1180.0,True,6,5,True,accurate,1,1,False,False,85,False,False,,,,,,,,,,,
117,1170.0,1261.2999801635742,1284.8999786376953,0,23.599998474121094,114.89997863769531,1210.0,True,5,4,False,accurate,1,1,False,False,82,False,False,,,,,,,,,,,
119,1190.0,1284.8999786376953,1312.9999809265137,0,28.10000228881836,122.99998092651367,1230.0,True,6,5,True,accurate,0,0,False,False,80,False,False,,,,,,,,,,,
125,1250.0,1312.9999809265137,1334.2999839782715,0,21.300003051757812,84.29998397827148,1290.0,True,4,3,False,accurate,1,1,False,False,74,False,False,,,,,,,,,,,
128,1280.0,1334.2999839782715,1370.1999855041504,0,35.900001525878906,90.19998550415039,1320.0,True,4,3,False,accurate,0,0,False,False,71,False,False,,,,,,,,,,,
136,1360.0,1370.1999855041504,1390.1999855041504,0,20.0,30.19998550415039,1400.0,False,2,1,False,accurate,0,0,False,False,63,False,True,,,,,,,,,,,
138,1380.0,1390.1999855041504,1411.9999885559082,0,21.800003051757812,31.999988555908203,1420.0,False,2,1,False,accurate,0,0,False,False,61,False,True,,,,,,,,,,,
139,1390.0,1411.9999885559082,1432.2999877929688,0,20.299999237060547,42.29998779296875,1430.0,True,3,2,False,accurate,0,0,False,False,60,False,False,,,,,,,,,,,
141,1410.0,1432.2999877929688,1456.5999908447266,0,24.300003051757812,46.59999084472656,1450.0,True,3,2,False,accurate,0,0,False,False,58,False,False,,,,,,,,,,,
142,1420.0,1456.5999908447266,1474.5999908447266,0,18.0,54.59999084472656,1460.0,True,3,2,False,accurate,0,0,False,False,57,False,False,,,,,,,,,,,
144,1440.0,1474.5999908447266,1496.4999885559082,0,21.89999771118164,56.4999885559082,1480.0,True,3,2,False,accurate,0,0,False,False,55,False,False,,,,,,,,,,,
146,1460.0,1496.4999885559082,1517.699993133545,0,21.20000457763672,57.69999313354492,1500.0,True,3,2,False,accurate,1,1,False,False,53,False,False,,,,,,,,,,,
152,1520.0,1520.0,1546.5000038146973,0,26.500003814697266,26.500003814697266,1560.0,False,1,0,False,accurate,0,0,False,False,47,False,True,,,,,,,,,,,
