shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,120.0,120.0,142.10000228881836,0,22.10000228881836,22.10000228881836,160.0,False,1,0,False,accurate,0,0,False,False,87,False,True,,,,,,,,,,,
13,130.0,142.10000228881836,169.20000457763672,0,27.10000228881836,39.20000457763672,170.0,False,2,1,False,accurate,1,1,False,False,86,False,True,,,,,,,,,,,
16,160.0,169.20000457763672,187.60000228881836,0,18.39999771118164,27.60000228881836,200.0,False,2,1,False,accurate,0,0,False,False,83,False,True,,,,,,,,,,,
17,170.0,187.60000228881836,192.60000228881836,0,5.0,22.60000228881836,210.0,False,2,1,False,fast,0,0,False,False,82,False,True,,,,,,,,,,,
25,250.0,250.0,271.0,0,21.0,21.0,290.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,270.0,271.0,290.5999984741211,0,19.599998474121094,20.599998474121094,310.0,False,2,1,False,accurate,0,0,False,False,72,False,True,,,,,,,,,,,
29,290.0,290.5999984741211,310.7999954223633,0,20.199996948242188,20.79999542236328,330.0,False,2,1,False,accurate,0,0,False,False,70,False,True,,,,,,,,,,,
31,310.0,310.7999954223633,330.6999931335449,0,19.89999771118164,20.699993133544922,350.0,False,2,1,False,accurate,0,0,False,False,68,False,True,,,,,,,,,,,
32,320.0,330.6999931335449,352.3999900817871,0,21.699996948242188,32.39999008178711,360.0,False,2,1,False,accurate,0,0,False,False,67,False,True,,,,,,,,,,,
34,340.0,352.3999900817871,379.299991607666,0,26.900001525878906,39.299991607666016,380.0,False,2,1,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,350.0,379.299991607666,384.1999931335449,0,4.900001525878906,34.19999313354492,390.0,False,3,2,False,fast,0,1,True,False,64,False,True,,,,,,,,,,,
36,360.0,384.1999931335449,393.1999969482422,0,9.000003814697266,33.19999694824219,400.0,False,3,2,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,380.0,393.1999969482422,396.8999938964844,0,3.6999969482421875,16.899993896484375,420.0,False,3,2,False,fast,0,0,False,False,61,False,True,,,,,,,,,,,
41,410.0,410.0,444.79999923706055,0,34.79999923706055,34.79999923706055,450.0,False,1,0,False,accurate,0,0,False,False,58,False,True,,,,,,,,,,,
42,420.0,444.79999923706055,456.60000228881836,0,11.800003051757812,36.60000228881836,460.0,False,2,1,False,fast,0,0,False,False,57,False,True,,,,,,,,,,,
44,440.0,456.60000228881836,459.7000045776367,0,3.1000022888183594,19.70000457763672,480.0,False,3,2,False,fast,0,1,True,False,55,False,True,,,,,,,,,,,
46,460.0,460.0,483.0999984741211,0,23.099998474121094,23.099998474121094,500.0,False,1,0,False,accurate,0,0,False,False,53,False,True,,,,,,,,,,,
47,470.0,483.0999984741211,508.20000076293945,0,25.10000228881836,38.20000076293945,510.0,False,2,1,False,accurate,0,0,False,False,52,False,True,,,,,,,,,,,
49,490.0,508.20000076293945,529.4999961853027,0,21.29999542236328,39.499996185302734,530.0,False,2,1,False,accurate,0,0,False,False,50,False,True,,,,,,,,,,,
50,500.0,529.4999961853027,532.3999938964844,0,2.8999977111816406,32.399993896484375,540.0,False,3,2,False,fast,0,1,True,False,49,False,True,,,,,,,,,,,
51,510.0,532.3999938964844,535.2999954223633,0,2.9000015258789062,25.29999542236328,550.0,False,3,2,False,fast,0,0,False,False,48,False,True,,,,,,,,,,,
52,520.0,535.2999954223633,538.1999931335449,0,2.8999977111816406,18.199993133544922,560.0,False,4,3,False,fast,0,0,False,False,47,False,True,,,,,,,,,,,
55,550.0,550.0,571.3000030517578,0,21.300003051757812,21.300003051757812,590.0,False,1,0,False,accurate,0,0,False,False,44,False,True,,,,,,,,,,,
58,580.0,580.0,599.4000015258789,0,19.400001525878906,19.400001525878906,620.0,False,1,0,False,accurate,1,1,False,False,41,False,True,,,,,,,,,,,
60,600.0,600.0,618.6999969482422,0,18.699996948242188,18.699996948242188,640.0,False,1,0,False,accurate,0,0,False,False,39,False,True,,,,,,,,,,,
62,620.0,620.0,639.9000015258789,0,19.900001525878906,19.900001525878906,660.0,False,1,0,False,accurate,0,0,False,False,37,False,True,,,,,,,,,,,
64,640.0,640.0,670.4000015258789,0,30.400001525878906,30.400001525878906,680.0,False,1,0,False,accurate,0,0,False,False,35,False,True,,,,,,,,,,,
65,650.0,670.4000015258789,673.5,0,3.0999984741210938,23.5,690.0,False,2,1,False,fast,0,0,False,False,34,False,True,,,,,,,,,,,
72,720.0,720.0,746.0,0,26.0,26.0,760.0,False,1,0,False,accurate,1,1,False,False,27,False,True,,,,,,,,,,,
76,760.0,760.0,781.8999977111816,0,21.89999771118164,21.89999771118164,800.0,False,1,0,False,accurate,1,1,False,False,23,False,True,,,,,,,,,,,
78,780.0,781.8999977111816,799.9999961853027,0,18.099998474121094,19.999996185302734,820.0,False,2,1,False,accurate,0,0,False,False,21,False,True,,,,,,,,,,,
79,790.0,799.9999961853027,825.8999938964844,0,25.89999771118164,35.899993896484375,830.0,False,2,1,False,accurate,0,0,False,False,20,False,True,,,,,,,,,,,
80,800.0,825.8999938964844,828.6999931335449,0,2.799999237060547,28.699993133544922,840.0,False,2,1,False,fast,0,0,False,False,19,False,True,,,,,,,,,,,
83,830.0,830.0,855.0,0,25.0,25.0,870.0,False,1,0,False,accurate,0,0,False,False,16,False,True,,,,,,,,,,,
84,840.0,855.0,874.1000022888184,0,19.10000228881836,34.10000228881836,880.0,False,2,1,False,accurate,1,1,False,False,15,False,True,,,,,,,,,,,
92,920.0,920.0,950.3999977111816,0,30.39999771118164,30.39999771118164,960.0,False,1,0,False,accurate,1,1,False,False,7,False,True,,,,,,,,,,,
93,930.0,950.3999977111816,953.6000022888184,0,3.2000045776367188,23.60000228881836,970.0,False,2,1,False,fast,0,0,False,False,6,False,True,,,,,,,,,,,
95,950.0,953.6000022888184,974.2000007629395,0,20.599998474121094,24.200000762939453,990.0,False,3,2,False,accurate,0,0,False,False,4,False,True,,,,,,,,,,,
97,970.0,974.2000007629395,1000.0,0,25.799999237060547,30.0,1010.0,False,2,1,False,accurate,0,0,False,False,2,True,True,,,,,,,,,,,
98,980.0,1000.0,1018.5999984741211,0,18.599998474121094,38.599998474121094,1020.0,False,2,1,False,accurate,0,0,False,False,1,True,True,,,,,,,,,,,
100,1000.0,1018.5999984741211,1022.8999977111816,0,4.299999237060547,22.89999771118164,1040.0,False,2,1,False,fast,0,1,True,False,99,False,True,,,,,,,,,,,
101,1010.0,1022.8999977111816,1048.1999969482422,0,25.299999237060547,38.19999694824219,1050.0,False,3,2,False,accurate,0,0,False,False,98,False,True,,,,,,,,,,,
103,1030.0,1048.1999969482422,1051.1999969482422,0,3.0,21.199996948242188,1070.0,False,2,1,False,fast,0,1,True,False,96,False,True,,,,,,,,,,,
109,1090.0,1090.0,1114.5,0,24.5,24.5,1130.0,False,1,0,False,accurate,1,1,False,False,90,False,True,,,,,,,,,,,
111,1110.0,1114.5,1135.8000030517578,0,21.300003051757812,25.800003051757812,1150.0,False,2,1,False,accurate,0,0,False,False,88,False,True,,,,,,,,,,,
112,1120.0,1135.8000030517578,1154.7000007629395,0,18.89999771118164,34.70000076293945,1160.0,False,2,1,False,accurate,1,1,False,False,87,False,True,,,,,,,,,,,
114,1140.0,1154.7000007629395,1158.0,0,3.299999237060547,18.0,1180.0,False,2,1,False,fast,0,1,True,False,85,False,True,,,,,,,,,,,
117,1170.0,1170.0,1193.599998474121,0,23.599998474121094,23.599998474121094,1210.0,False,1,0,False,accurate,1,1,False,False,82,False,True,,,,,,,,,,,
119,1190.0,1193.599998474121,1221.7000007629395,0,28.10000228881836,31.700000762939453,1230.0,False,2,1,False,accurate,0,0,False,False,80,False,True,,,,,,,,,,,
125,1250.0,1250.0,1271.3000030517578,0,21.300003051757812,21.300003051757812,1290.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
128,1280.0,1280.0,1315.900001525879,0,35.900001525878906,35.900001525878906,1320.0,False,1,0,False,accurate,0,0,False,False,71,False,True,,,,,,,,,,,
136,1360.0,1360.0,1380.0,0,20.0,20.0,1400.0,False,1,0,False,accurate,0,0,False,False,63,False,True,,,,,,,,,,,
138,1380.0,1380.0,1401.8000030517578,0,21.800003051757812,21.800003051757812,1420.0,False,1,0,False,accurate,0,0,False,False,61,False,True,,,,,,,,,,,
139,1390.0,1401.8000030517578,1422.1000022888184,0,20.299999237060547,32.10000228881836,1430.0,False,2,1,False,accurate,0,0,False,False,60,False,True,,,,,,,,,,,
141,1410.0,1422.1000022888184,1446.4000053405762,0,24.300003051757812,36.40000534057617,1450.0,False,2,1,False,accurate,0,0,False,False,58,False,True,,,,,,,,,,,
142,1420.0,1446.4000053405762,1449.4000091552734,0,3.0000038146972656,29.400009155273438,1460.0,False,3,2,False,fast,0,0,False,False,57,False,True,,,,,,,,,,,
144,1440.0,1449.4000091552734,1471.300006866455,0,21.89999771118164,31.300006866455078,1480.0,False,3,2,False,accurate,0,0,False,False,55,False,True,,,,,,,,,,,
146,1460.0,1471.300006866455,1492.5000114440918,0,21.20000457763672,32.5000114440918,1500.0,False,2,1,False,accurate,1,1,False,False,53,False,True,,,,,,,,,,,
152,1520.0,1520.0,1546.5000038146973,0,26.500003814697266,26.500003814697266,1560.0,False,1,0,False,accurate,0,0,False,False,47,False,True,,,,,,,,,,,
153,1530.0,1546.5000038146973,1549.9000053405762,0,3.4000015258789062,19.900005340576172,1570.0,False,2,1,False,fast,0,0,False,False,46,False,True,,,,,,,,,,,
