shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,120.0,120.0,142.40000228881837,0,22.40000228881836,22.40000228881837,160.0,False,1,0,False,accurate,0,0,False,False,87,False,True,,,,,,,,,,,
13,130.0,142.40000228881837,169.80000457763674,0,27.40000228881836,39.80000457763674,170.0,False,2,1,False,accurate,1,1,False,False,86,False,True,,,,,,,,,,,
16,160.0,169.80000457763674,188.5000022888184,0,18.69999771118164,28.500002288818393,200.0,False,2,1,False,accurate,0,0,False,False,83,False,True,,,,,,,,,,,
17,170.0,188.5000022888184,216.70000000000005,0,28.19999771118164,46.700000000000045,210.0,True,2,1,False,accurate,0,0,False,False,82,False,False,,,,,,,,,,,
25,250.0,250.0,271.3,0,21.3,21.30000000000001,290.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,270.0,271.3,291.1999984741211,0,19.899998474121094,21.199998474121116,310.0,False,2,1,False,accurate,0,0,False,False,72,False,True,,,,,,,,,,,
29,290.0,291.1999984741211,311.6999954223633,0,20.499996948242188,21.699995422363315,330.0,False,2,1,False,accurate,0,0,False,False,70,False,True,,,,,,,,,,,
31,310.0,311.6999954223633,328.9149934768677,0,17.214998054504395,18.91499347686772,350.0,False,2,1,False,accurate,0,0,False,False,68,False,True,,,,,,,,,,,
32,320.0,328.9149934768677,348.23440253256,0,19.31940905569231,28.23440253256001,360.0,False,2,1,False,accurate,0,0,False,False,67,False,True,,,,,,,,,,,
34,340.0,348.23440253256,375.43440405843893,0,27.200001525878907,35.43440405843893,380.0,False,2,1,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,350.0,375.43440405843893,401.4344048213784,0,26.000000762939454,51.43440482137839,390.0,True,2,1,False,accurate,1,1,False,False,64,False,False,,,,,,,,,,,
36,360.0,401.4344048213784,423.03440405843895,0,21.599999237060548,63.03440405843895,400.0,True,3,2,False,accurate,0,0,False,False,63,False,False,,,,,,,,,,,
38,380.0,423.03440405843895,456.6344071101968,0,33.60000305175781,76.63440711019678,420.0,True,3,2,False,accurate,0,0,False,False,61,False,False,,,,,,,,,,,
41,410.0,456.6344071101968,491.73440634725733,0,35.099999237060544,81.73440634725733,450.0,True,3,2,False,accurate,0,0,False,False,58,False,False,,,,,,,,,,,
42,420.0,491.73440634725733,509.3344017696206,0,17.599995422363282,89.33440176962063,460.0,True,4,3,False,accurate,0,0,False,False,57,False,False,,,,,,,,,,,
44,440.0,509.3344017696206,536.4344048213784,0,27.100003051757813,96.4344048213784,480.0,True,4,3,False,accurate,1,1,False,False,55,False,False,,,,,,,,,,,
46,460.0,536.4344048213784,559.8344032954994,0,23.399998474121094,99.83440329549944,500.0,True,4,3,False,accurate,0,0,False,False,53,False,False,,,,,,,,,,,
47,470.0,559.8344032954994,585.2344055843178,0,25.40000228881836,115.23440558431776,510.0,True,5,4,False,accurate,0,0,False,False,52,False,False,,,,,,,,,,,
49,490.0,585.2344055843178,606.834401006681,0,21.599995422363282,116.83440100668099,530.0,True,6,5,True,accurate,0,0,False,False,50,False,False,,,,,,,,,,,
50,500.0,606.834401006681,626.2562746238532,0,19.421873617172242,126.25627462385319,540.0,True,6,5,True,accurate,1,1,False,False,49,False,False,,,,,,,,,,,
51,510.0,626.2562746238532,647.0562746238531,0,20.8,137.05627462385314,550.0,True,6,5,True,accurate,0,0,False,False,48,False,False,,,,,,,,,,,
52,520.0,647.0562746238531,672.6562776756109,0,25.600003051757813,152.6562776756109,560.0,True,7,6,True,accurate,0,0,False,False,47,False,False,,,,,,,,,,,
55,550.0,672.6562776756109,694.2562807273687,0,21.600003051757813,144.25628072736868,590.0,True,7,6,True,accurate,0,0,False,False,44,False,False,,,,,,,,,,,
58,580.0,694.2562807273687,710.8751053770673,0,16.61882464969858,130.87510537706726,620.0,True,7,6,True,accurate,1,1,False,False,41,False,False,,,,,,,,,,,
60,600.0,710.8751053770673,729.8751023253094,0,18.999996948242188,129.8751023253094,640.0,True,7,6,True,accurate,0,0,False,False,39,False,False,,,,,,,,,,,
62,620.0,729.8751023253094,745.8108177082601,0,15.935715382950638,125.81081770826006,660.0,True,7,6,True,accurate,0,0,False,False,37,False,False,,,,,,,,,,,
