shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,120.0,120.0,122.33000030517579,0,2.330000305175781,2.330000305175787,160.0,False,1,0,False,fast,0,0,False,False,87,False,True,,,,,,,,,,,
13,130.0,130.0,141.09000091552736,0,11.090000915527344,11.090000915527355,170.0,False,1,0,False,accurate,1,1,False,False,86,False,True,,,,,,,,,,,
16,160.0,160.0,165.7699996948242,0,5.769999694824219,5.769999694824207,200.0,False,1,0,False,fast,0,0,False,False,83,False,True,,,,,,,,,,,
17,170.0,170.0,172.25,0,2.25,2.25,210.0,False,1,0,False,fast,0,0,False,False,82,False,True,,,,,,,,,,,
25,250.0,250.0,258.65,0,8.65,8.649999999999977,290.0,False,1,0,False,accurate,1,1,False,False,74,False,True,,,,,,,,,,,
27,270.0,270.0,271.5300003051758,0,1.5300003051757813,1.530000305175804,310.0,False,1,0,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,290.0,290.0,292.05,0,2.05,2.0500000000000114,330.0,False,1,0,False,fast,0,0,False,False,70,False,True,,,,,,,,,,,
31,310.0,310.0,312.9699996948242,0,2.969999694824219,2.969999694824196,350.0,False,1,0,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,320.0,320.0,322.25,0,2.25,2.25,360.0,False,1,0,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,340.0,340.0,351.01000061035154,0,11.010000610351563,11.01000061035154,380.0,False,1,0,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,350.0,351.01000061035154,361.54000091552734,0,10.530000305175783,11.540000915527344,390.0,False,2,1,False,accurate,1,1,False,False,64,False,True,,,,,,,,,,,
36,360.0,361.54000091552734,365.39000244140624,0,3.8500015258789064,5.390002441406239,400.0,False,2,1,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,380.0,380.0,381.72999877929686,0,1.7299987792968752,1.7299987792968636,420.0,False,1,0,False,fast,0,0,False,False,61,False,True,,,,,,,,,,,
41,410.0,410.0,412.9300003051758,0,2.9300003051757812,2.9300003051757812,450.0,False,1,0,False,fast,0,0,False,False,58,False,True,,,,,,,,,,,
42,420.0,420.0,424.9700012207031,0,4.970001220703125,4.970001220703125,460.0,False,1,0,False,fast,0,0,False,False,57,False,True,,,,,,,,,,,
44,440.0,440.0,450.9700012207031,0,10.970001220703125,10.970001220703125,480.0,False,1,0,False,accurate,1,1,False,False,55,False,True,,,,,,,,,,,
46,460.0,460.0,461.40999908447264,0,1.4099990844726562,1.4099990844726449,500.0,False,1,0,False,fast,0,0,False,False,53,False,True,,,,,,,,,,,
47,470.0,470.0,471.4500015258789,0,1.4500015258789063,1.4500015258789176,510.0,False,1,0,False,fast,0,0,False,False,52,False,True,,,,,,,,,,,
49,490.0,490.0,491.45,0,1.4500000000000002,1.4499999999999886,530.0,False,1,0,False,fast,0,0,False,False,50,False,True,,,,,,,,,,,
50,500.0,500.0,508.68999938964845,0,8.689999389648438,8.689999389648449,540.0,False,1,0,False,accurate,1,1,False,False,49,False,True,,,,,,,,,,,
51,510.0,510.0,511.4100006103516,0,1.4100006103515625,1.4100006103515739,550.0,False,1,0,False,fast,0,0,False,False,48,False,True,,,,,,,,,,,
52,520.0,520.0,521.4099990844727,0,1.4099990844726562,1.4099990844727017,560.0,False,1,0,False,fast,0,0,False,False,47,False,True,,,,,,,,,,,
55,550.0,550.0,551.4099990844727,0,1.4099990844726562,1.4099990844727017,590.0,False,1,0,False,fast,0,0,False,False,44,False,True,,,,,,,,,,,
58,580.0,580.0,588.0100006103515,0,8.010000610351563,8.01000061035154,620.0,False,1,0,False,accurate,1,1,False,False,41,False,True,,,,,,,,,,,
60,600.0,600.0,601.4100006103515,0,1.4100006103515625,1.410000610351517,640.0,False,1,0,False,fast,0,0,False,False,39,False,True,,,,,,,,,,,
62,620.0,620.0,621.45,0,1.4500000000000002,1.4500000000000455,660.0,False,1,0,False,fast,0,0,False,False,37,False,True,,,,,,,,,,,
