shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk,selected_decoder
12,72.0,72.0,83.0,0,11.0,11.0,120.0,False,1,0,False,0,0,False,False,87,False,True,risk_lstm,8,0.9825457334518433,0.05317407846450806,2.5686662197113037,0.877187967300415,,,,,,accurate
13,78.0,83.0,93.70000076293945,0,10.700000762939453,15.700000762939453,126.0,False,2,1,False,0,0,False,False,86,False,True,risk_lstm,8,0.9669189453125,0.19985967874526978,2.485318183898926,0.8610106706619263,,,,,,accurate
16,96.0,96.0,108.60000228881836,0,12.60000228881836,12.60000228881836,144.0,False,1,0,False,0,0,False,False,83,False,True,risk_lstm,8,0.9904028177261353,0.06851993501186371,2.4777767658233643,0.8835039138793945,,,,,,accurate
17,102.0,108.60000228881836,120.70000457763672,0,12.10000228881836,18.70000457763672,150.0,False,2,1,False,1,1,False,False,82,False,True,risk_lstm,8,0.9849822521209717,0.05694548040628433,2.494901180267334,0.8658667802810669,,,,,,accurate
25,150.0,150.0,152.9000015258789,0,2.9000015258789062,2.9000015258789062,198.0,False,1,0,False,0,0,False,False,74,False,True,risk_lstm,8,0.008895243518054485,0.048879120498895645,2.2062363624572754,0.9709905982017517,,,,,,fast
27,162.0,162.0,164.99999618530273,0,2.9999961853027344,2.9999961853027344,210.0,False,1,0,False,0,0,False,False,72,False,True,risk_lstm,8,0.051223430782556534,0.06330026686191559,2.233567953109741,0.9475364089012146,,,,,,fast
29,174.0,174.0,187.10000228881836,0,13.10000228881836,13.10000228881836,222.0,False,1,0,False,1,1,False,False,70,False,True,risk_lstm,8,0.9767491817474365,0.08106289803981781,2.4844634532928467,0.8607531785964966,,,,,,accurate
31,186.0,187.10000228881836,200.70000076293945,0,13.599998474121094,14.700000762939453,234.0,False,2,1,False,0,0,False,False,68,False,True,risk_lstm,8,0.8564053177833557,0.2245422899723053,2.2800512313842773,0.8545710444450378,,,,,,accurate
32,192.0,200.70000076293945,215.3000030517578,0,14.60000228881836,23.300003051757812,240.0,False,2,1,False,0,0,False,False,67,False,True,risk_lstm,8,0.986316978931427,0.07406795024871826,2.3507516384124756,0.8737251162528992,,,,,,accurate
34,204.0,215.3000030517578,226.70000457763672,0,11.400001525878906,22.70000457763672,252.0,False,2,1,False,1,1,False,False,65,False,True,risk_lstm,8,0.9749166369438171,0.15587541460990906,2.2461695671081543,0.8697022795677185,,,,,,accurate
35,210.0,226.70000457763672,239.4000015258789,0,12.699996948242188,29.400001525878906,258.0,False,3,2,False,0,0,False,False,64,False,True,risk_lstm,8,0.9888563752174377,0.05594256520271301,2.3378522396087646,0.8640002012252808,,,,,,accurate
36,216.0,239.4000015258789,254.5,0,15.099998474121094,38.5,264.0,False,3,2,False,0,0,False,False,63,False,True,risk_lstm,8,0.9753457307815552,0.08749319612979889,2.4521610736846924,0.8492706418037415,,,,,,accurate
38,228.0,254.5,266.39999771118164,0,11.89999771118164,38.39999771118164,276.0,False,3,2,False,1,1,False,False,61,False,True,risk_lstm,8,0.6804426312446594,0.15677572786808014,2.2920942306518555,0.9043436646461487,,,,,,accurate
41,246.0,266.39999771118164,279.39999771118164,0,13.0,33.39999771118164,294.0,False,3,2,False,0,0,False,False,58,False,True,risk_lstm,8,0.912497341632843,0.07828447967767715,2.5343544483184814,0.843054473400116,,,,,,accurate
42,252.0,279.39999771118164,290.1999969482422,0,10.799999237060547,38.19999694824219,300.0,False,4,3,False,1,1,False,False,57,False,True,risk_lstm,8,0.9904966354370117,0.06996876746416092,2.3641223907470703,0.8797736167907715,,,,,,accurate
44,264.0,290.1999969482422,293.0999946594238,0,2.8999977111816406,29.099994659423828,312.0,False,4,3,False,0,0,False,False,55,False,True,risk_lstm,8,0.008948495611548424,0.05034836381673813,2.2077300548553467,0.9710436463356018,,,,,,fast
46,276.0,293.0999946594238,304.5999946594238,0,11.5,28.599994659423828,324.0,False,4,3,False,0,0,False,False,53,False,True,risk_lstm,8,0.9882774949073792,0.04358135908842087,2.4383914470672607,0.8550150990486145,,,,,,accurate
47,282.0,304.5999946594238,316.59999084472656,0,11.999996185302734,34.59999084472656,330.0,False,4,3,False,0,0,False,False,52,False,True,risk_lstm,8,0.9402327537536621,0.1092180460691452,2.5215909481048584,0.8628098964691162,,,,,,accurate
49,294.0,316.59999084472656,329.8999938964844,0,13.300003051757812,35.899993896484375,342.0,False,3,2,False,0,0,False,False,50,False,True,risk_lstm,8,0.9896849393844604,0.05056127905845642,2.42475962638855,0.8637323975563049,,,,,,accurate
50,300.0,329.8999938964844,342.5999946594238,0,12.700000762939453,42.59999465942383,348.0,False,4,3,False,0,0,False,False,49,False,True,risk_lstm,8,0.980158805847168,0.06224541366100311,2.371870756149292,0.8357332944869995,,,,,,accurate
51,306.0,342.5999946594238,345.2999954223633,0,2.700000762939453,39.29999542236328,354.0,False,4,3,False,0,0,False,False,48,False,True,risk_lstm,8,0.009015370160341263,0.046462297439575195,2.2258498668670654,0.9699012637138367,,,,,,fast
52,312.0,345.2999954223633,358.0,0,12.700004577636719,46.0,360.0,False,5,4,False,0,0,False,False,47,False,True,risk_lstm,8,0.9303193688392639,0.08713015913963318,2.3815114498138428,0.8401144742965698,,,,,,accurate
55,330.0,358.0,369.5999984741211,0,11.599998474121094,39.599998474121094,378.0,False,4,3,False,1,1,False,False,44,False,True,risk_lstm,8,0.9789284467697144,0.036642152816057205,2.515082597732544,0.8534376621246338,,,,,,accurate
