shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,72.0,72.0,80.825,0,8.825000000000001,8.825000000000003,120.0,False,1,0,False,accurate,0,0,False,False,87,False,True,,,,,,,,,,,
13,78.0,80.825,91.82500076293945,0,11.000000762939454,13.825000762939453,126.0,False,2,1,False,accurate,0,0,False,False,86,False,True,,,,,,,,,,,
16,96.0,96.0,102.18000101804732,0,6.1800010180473235,6.180001018047321,144.0,False,1,0,False,accurate,0,0,False,False,83,False,True,,,,,,,,,,,
17,102.0,102.18000101804732,114.58000330686568,0,12.40000228881836,12.580003306865677,150.0,False,2,1,False,accurate,1,1,False,False,82,False,True,,,,,,,,,,,
25,150.0,150.0,159.29999618530275,0,9.299996185302735,9.299996185302746,198.0,False,1,0,False,accurate,0,0,False,False,74,False,True,,,,,,,,,,,
27,162.0,162.0,173.19999771118165,0,11.199997711181641,11.199997711181652,210.0,False,1,0,False,accurate,0,0,False,False,72,False,True,,,,,,,,,,,
29,174.0,174.0,187.40000228881837,0,13.40000228881836,13.40000228881837,222.0,False,1,0,False,accurate,1,1,False,False,70,False,True,,,,,,,,,,,
31,186.0,187.40000228881837,201.30000076293948,0,13.899998474121094,15.300000762939476,234.0,False,2,1,False,accurate,0,0,False,False,68,False,True,,,,,,,,,,,
32,192.0,201.30000076293948,216.20000305175785,0,14.90000228881836,24.200003051757847,240.0,False,2,1,False,accurate,0,0,False,False,67,False,True,,,,,,,,,,,
34,204.0,216.20000305175785,227.90000457763676,0,11.700001525878907,23.900004577636764,252.0,False,2,1,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,210.0,227.90000457763676,240.90000152587896,0,12.999996948242188,30.900001525878963,258.0,False,3,2,False,accurate,0,0,False,False,64,False,True,,,,,,,,,,,
36,216.0,240.90000152587896,256.30000000000007,0,15.399998474121094,40.30000000000007,264.0,False,4,3,False,accurate,0,0,False,False,63,False,True,,,,,,,,,,,
