shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,72.0,72.0,74.25,0,2.25,2.25,120.0,False,1,0,False,fast,0,0,False,False,87,False,True,,,,,,,,,,,
13,78.0,78.0,80.00999908447265,0,2.009999084472656,2.0099990844726534,126.0,False,1,0,False,fast,0,0,False,False,86,False,True,,,,,,,,,,,
16,96.0,96.0,97.32999877929687,0,1.329998779296875,1.3299987792968722,144.0,False,1,0,False,fast,0,0,False,False,83,False,True,,,,,,,,,,,
17,102.0,102.0,107.09000091552734,0,5.0900009155273445,5.090000915527341,150.0,False,1,0,False,accurate,1,1,False,False,82,False,True,,,,,,,,,,,
25,150.0,150.0,151.41000061035157,0,1.4100006103515625,1.4100006103515739,198.0,False,1,0,False,fast,0,0,False,False,74,False,True,,,,,,,,,,,
27,162.0,162.0,163.4499984741211,0,1.4499984741210938,1.449998474121088,210.0,False,1,0,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,174.0,174.0,179.49000091552733,0,5.490000915527344,5.490000915527332,222.0,False,1,0,False,accurate,1,1,False,False,70,False,True,,,,,,,,,,,
31,186.0,186.0,187.40999908447264,0,1.4099990844726562,1.4099990844726449,234.0,False,1,0,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,192.0,192.0,193.40999908447264,0,1.4099990844726562,1.4099990844726449,240.0,False,1,0,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,204.0,204.0,208.81000061035155,0,4.810000610351563,4.810000610351551,252.0,False,1,0,False,accurate,1,1,False,False,65,False,True,,,,,,,,,,,
35,210.0,210.0,211.45,0,1.4500000000000002,1.4499999999999886,258.0,False,1,0,False,fast,0,0,False,False,64,False,True,,,,,,,,,,,
