shot_id,arrival_time_us,start_time_us,finish_time_us,worker_id,latency_us,response_time_us,deadline_us,deadline_miss,backlog,pauli_frame_lag,pauli_frame_lag_violation,selected_decoder,prediction,observable,logical_error,logical_boundary,rounds_until_boundary,boundary_drain,boundary_commit_success,ai_model_type,ai_history_length,ai_risk_score,ai_hard_runtime_score,ai_runtime_pred,ai_confidence,fast_wrong_prob,fast_logical_fail_prob,hard_runtime_prob,safe_fast_prob,combined_fast_risk
12,72.0,72.0,77.0,0,5.0,5.0,120.0,False,1,0,False,fast,0,0,False,False,87,False,True,,,,,,,,,,,
13,78.0,78.0,82.39999771118164,0,4.399997711181641,4.399997711181641,126.0,False,1,0,False,fast,0,0,False,False,86,False,True,,,,,,,,,,,
16,96.0,96.0,98.69999694824219,0,2.6999969482421875,2.6999969482421875,144.0,False,1,0,False,fast,0,0,False,False,83,False,True,,,,,,,,,,,
17,102.0,102.0,105.10000228881836,0,3.1000022888183594,3.1000022888183594,150.0,False,1,0,False,fast,0,1,True,False,82,False,True,,,,,,,,,,,
25,150.0,150.0,152.9000015258789,0,2.9000015258789062,2.9000015258789062,198.0,False,1,0,False,fast,0,0,False,False,74,False,True,,,,,,,,,,,
27,162.0,162.0,164.99999618530273,0,2.9999961853027344,2.9999961853027344,210.0,False,1,0,False,fast,0,0,False,False,72,False,True,,,,,,,,,,,
29,174.0,174.0,176.79999923706055,0,2.799999237060547,2.799999237060547,222.0,False,1,0,False,fast,0,1,True,False,70,False,True,,,,,,,,,,,
31,186.0,186.0,188.89999771118164,0,2.8999977111816406,2.8999977111816406,234.0,False,1,0,False,fast,0,0,False,False,68,False,True,,,,,,,,,,,
32,192.0,192.0,194.89999771118164,0,2.8999977111816406,2.8999977111816406,240.0,False,1,0,False,fast,0,0,False,False,67,False,True,,,,,,,,,,,
34,204.0,204.0,208.5999984741211,0,4.599998474121094,4.599998474121094,252.0,False,1,0,False,fast,0,1,True,False,65,False,True,,,,,,,,,,,
35,210.0,210.0,213.0,0,3.0,3.0,258.0,False,1,0,False,fast,0,0,False,False,64,False,True,,,,,,,,,,,
36,216.0,216.0,218.99999618530273,0,2.9999961853027344,2.9999961853027344,264.0,False,1,0,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
38,228.0,228.0,230.9000015258789,0,2.9000015258789062,2.9000015258789062,276.0,False,1,0,False,fast,0,1,True,False,61,False,True,,,,,,,,,,,
41,246.0,246.0,250.29999923706055,0,4.299999237060547,4.299999237060547,294.0,False,1,0,False,fast,0,0,False,False,58,False,True,,,,,,,,,,,
42,252.0,252.0,256.29999923706055,0,4.299999237060547,4.299999237060547,300.0,False,1,0,False,fast,0,1,True,False,57,False,True,,,,,,,,,,,
44,264.0,264.0,266.89999771118164,0,2.8999977111816406,2.8999977111816406,312.0,False,1,0,False,fast,0,0,False,False,55,False,True,,,,,,,,,,,
46,276.0,276.0,278.9000015258789,0,2.9000015258789062,2.9000015258789062,324.0,False,1,0,False,fast,0,0,False,False,53,False,True,,,,,,,,,,,
47,282.0,282.0,284.70000076293945,0,2.700000762939453,2.700000762939453,330.0,False,1,0,False,fast,0,0,False,False,52,False,True,,,,,,,,,,,
49,294.0,294.0,296.79999923706055,0,2.799999237060547,2.799999237060547,342.0,False,1,0,False,fast,0,0,False,False,50,False,True,,,,,,,,,,,
50,300.0,300.0,303.0999984741211,0,3.0999984741210938,3.0999984741210938,348.0,False,1,0,False,fast,0,0,False,False,49,False,True,,,,,,,,,,,
51,306.0,306.0,308.70000076293945,0,2.700000762939453,2.700000762939453,354.0,False,1,0,False,fast,0,0,False,False,48,False,True,,,,,,,,,,,
52,312.0,312.0,314.70000076293945,0,2.700000762939453,2.700000762939453,360.0,False,1,0,False,fast,0,0,False,False,47,False,True,,,,,,,,,,,
55,330.0,330.0,332.70000076293945,0,2.700000762939453,2.700000762939453,378.0,False,1,0,False,fast,0,1,True,False,44,False,True,,,,,,,,,,,
58,348.0,348.0,350.79999923706055,0,2.799999237060547,2.799999237060547,396.0,False,1,0,False,fast,0,0,False,False,41,False,True,,,,,,,,,,,
60,360.0,360.0,364.4000015258789,0,4.400001525878906,4.400001525878906,408.0,False,1,0,False,fast,0,0,False,False,39,False,True,,,,,,,,,,,
62,372.0,372.0,375.10000228881836,0,3.1000022888183594,3.1000022888183594,420.0,False,1,0,False,fast,0,0,False,False,37,False,True,,,,,,,,,,,
64,384.0,384.0,386.7000045776367,0,2.7000045776367188,2.7000045776367188,432.0,False,1,0,False,fast,0,0,False,False,35,False,True,,,,,,,,,,,
65,390.0,390.0,392.9000015258789,0,2.9000015258789062,2.9000015258789062,438.0,False,1,0,False,fast,0,0,False,False,34,False,True,,,,,,,,,,,
72,432.0,432.0,435.0999984741211,0,3.0999984741210938,3.0999984741210938,480.0,False,1,0,False,fast,0,1,True,False,27,False,True,,,,,,,,,,,
76,456.0,456.0,459.0,0,3.0,3.0,504.0,False,1,0,False,fast,0,0,False,False,23,False,True,,,,,,,,,,,
78,468.0,468.0,472.70000076293945,0,4.700000762939453,4.700000762939453,516.0,False,1,0,False,fast,0,0,False,False,21,False,True,,,,,,,,,,,
79,474.0,474.0,478.9000015258789,0,4.900001525878906,4.900001525878906,522.0,False,1,0,False,fast,0,0,False,False,20,False,True,,,,,,,,,,,
80,480.0,480.0,483.0999984741211,0,3.0999984741210938,3.0999984741210938,528.0,False,1,0,False,fast,0,0,False,False,19,False,True,,,,,,,,,,,
83,498.0,498.0,500.9000015258789,0,2.9000015258789062,2.9000015258789062,546.0,False,1,0,False,fast,0,0,False,False,16,False,True,,,,,,,,,,,
84,504.0,504.0,506.79999923706055,0,2.799999237060547,2.799999237060547,552.0,False,1,0,False,fast,0,0,False,False,15,False,True,,,,,,,,,,,
92,552.0,552.0,554.8999977111816,0,2.8999977111816406,2.8999977111816406,600.0,False,1,0,False,fast,0,0,False,False,7,False,True,,,,,,,,,,,
93,558.0,558.0,560.7999992370605,0,2.799999237060547,2.799999237060547,606.0,False,1,0,False,fast,0,0,False,False,6,False,True,,,,,,,,,,,
95,570.0,570.0,573.0,0,3.0,3.0,618.0,False,1,0,False,fast,0,0,False,False,4,False,True,,,,,,,,,,,
97,582.0,582.0,584.6999969482422,0,2.6999969482421875,2.6999969482421875,630.0,False,1,0,False,fast,0,0,False,False,2,True,True,,,,,,,,,,,
98,588.0,588.0,590.7999992370605,0,2.799999237060547,2.799999237060547,636.0,False,1,0,False,fast,0,0,False,False,1,True,True,,,,,,,,,,,
100,600.0,600.0,602.7000007629395,0,2.700000762939453,2.700000762939453,648.0,False,1,0,False,fast,0,0,False,False,99,False,True,,,,,,,,,,,
101,606.0,606.0,608.7999992370605,0,2.799999237060547,2.799999237060547,654.0,False,1,0,False,fast,0,0,False,False,98,False,True,,,,,,,,,,,
103,618.0,618.0,620.8000030517578,0,2.8000030517578125,2.8000030517578125,666.0,False,1,0,False,fast,0,0,False,False,96,False,True,,,,,,,,,,,
109,654.0,654.0,656.7999992370605,0,2.799999237060547,2.799999237060547,702.0,False,1,0,False,fast,0,0,False,False,90,False,True,,,,,,,,,,,
111,666.0,666.0,669.2999992370605,0,3.299999237060547,3.299999237060547,714.0,False,1,0,False,fast,0,0,False,False,88,False,True,,,,,,,,,,,
112,672.0,672.0,674.9000015258789,0,2.9000015258789062,2.9000015258789062,720.0,False,1,0,False,fast,0,0,False,False,87,False,True,,,,,,,,,,,
114,684.0,684.0,688.2999992370605,0,4.299999237060547,4.299999237060547,732.0,False,1,0,False,fast,0,0,False,False,85,False,True,,,,,,,,,,,
117,702.0,702.0,704.7999992370605,0,2.799999237060547,2.799999237060547,750.0,False,1,0,False,fast,0,0,False,False,82,False,True,,,,,,,,,,,
119,714.0,714.0,716.7000007629395,0,2.700000762939453,2.700000762939453,762.0,False,1,0,False,fast,0,0,False,False,80,False,True,,,,,,,,,,,
125,750.0,750.0,778.0999984741211,0,28.099998474121094,28.099998474121094,798.0,False,1,0,False,accurate,0,0,False,False,74,False,True,,,,,,,,,,,
128,768.0,778.0999984741211,780.9000015258789,0,2.8000030517578125,12.900001525878906,816.0,False,2,1,False,fast,0,0,False,False,71,False,True,,,,,,,,,,,
136,816.0,816.0,818.7999992370605,0,2.799999237060547,2.799999237060547,864.0,False,1,0,False,fast,0,0,False,False,63,False,True,,,,,,,,,,,
138,828.0,828.0,830.7999992370605,0,2.799999237060547,2.799999237060547,876.0,False,1,0,False,fast,0,0,False,False,61,False,True,,,,,,,,,,,
139,834.0,834.0,837.0999984741211,0,3.0999984741210938,3.0999984741210938,882.0,False,1,0,False,fast,0,1,True,False,60,False,True,,,,,,,,,,,
141,846.0,846.0,848.7000007629395,0,2.700000762939453,2.700000762939453,894.0,False,1,0,False,fast,0,0,False,False,58,False,True,,,,,,,,,,,
142,852.0,852.0,854.8999977111816,0,2.8999977111816406,2.8999977111816406,900.0,False,1,0,False,fast,0,0,False,False,57,False,True,,,,,,,,,,,
144,864.0,864.0,866.7999992370605,0,2.799999237060547,2.799999237060547,912.0,False,1,0,False,fast,0,0,False,False,55,False,True,,,,,,,,,,,
146,876.0,876.0,878.7999992370605,0,2.799999237060547,2.799999237060547,924.0,False,1,0,False,fast,0,0,False,False,53,False,True,,,,,,,,,,,
152,912.0,912.0,914.7999992370605,0,2.799999237060547,2.799999237060547,960.0,False,1,0,False,fast,0,0,False,False,47,False,True,,,,,,,,,,,
153,918.0,918.0,920.7000045776367,0,2.7000045776367188,2.7000045776367188,966.0,False,1,0,False,fast,0,0,False,False,46,False,True,,,,,,,,,,,
154,924.0,924.0,926.7999992370605,0,2.799999237060547,2.799999237060547,972.0,False,1,0,False,fast,0,1,True,False,45,False,True,,,,,,,,,,,
156,936.0,936.0,938.6999969482422,0,2.6999969482421875,2.6999969482421875,984.0,False,1,0,False,fast,0,0,False,False,43,False,True,,,,,,,,,,,
158,948.0,948.0,950.7999992370605,0,2.799999237060547,2.799999237060547,996.0,False,1,0,False,fast,0,1,True,False,41,False,True,,,,,,,,,,,
159,954.0,954.0,956.6999969482422,0,2.6999969482421875,2.6999969482421875,1002.0,False,1,0,False,fast,0,0,False,False,40,False,True,,,,,,,,,,,
161,966.0,966.0,968.7999992370605,0,2.799999237060547,2.799999237060547,1014.0,False,1,0,False,fast,0,0,False,False,38,False,True,,,,,,,,,,,
163,978.0,978.0,980.7000007629395,0,2.700000762939453,2.700000762939453,1026.0,False,1,0,False,fast,0,0,False,False,36,False,True,,,,,,,,,,,
168,1008.0,1008.0,1010.8000030517578,0,2.8000030517578125,2.8000030517578125,1056.0,False,1,0,False,fast,0,0,False,False,31,False,True,,,,,,,,,,,
171,1026.0,1026.0,1028.7999992370605,0,2.799999237060547,2.799999237060547,1074.0,False,1,0,False,fast,0,0,False,False,28,False,True,,,,,,,,,,,
173,1038.0,1038.0,1040.900001525879,0,2.9000015258789062,2.9000015258789062,1086.0,False,1,0,False,fast,0,1,True,False,26,False,True,,,,,,,,,,,
175,1050.0,1050.0,1052.7999992370605,0,2.799999237060547,2.799999237060547,1098.0,False,1,0,False,fast,0,1,True,False,24,False,True,,,,,,,,,,,
