logical_error_rate,mean_latency_us,p95_latency_us,p99_latency_us,p999_latency_us,mean_response_time_us,p95_response_time_us,p99_response_time_us,p999_response_time_us,deadline_miss_ratio,mean_backlog,p99_backlog,max_backlog,mean_pauli_frame_lag,p99_pauli_frame_lag,max_pauli_frame_lag,pauli_frame_lag_violation_ratio,boundary_commit_success_rate,fast_selection_rate,accurate_selection_rate,accept_rate,abstention_rate,false_accept_rate,accepted_error_rate,accepted_fast_logical_fail_rate,validation_pass_rate,predecode_accept_rate,mean_estimated_residual_reduction,residual_density_reduction,residual_graph_size_reduction,num_shots,num_workers,real_qec,timing_mode,mode,ai_risk_available,hard_runtime_label_valid,risk_false_negative_rate,risk_false_positive_rate,logical_error_x_latency
0.00025,12.739975060462951,17.600002479553222,24.00100002288816,39.900001525878906,52.94725203800201,238.94504699707008,435.40900157928445,520.3059992370645,0.2315,4.30975,29.0,35.0,3.30975,28.0,34.0,0.1475,0.8095238095238095,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,accurate_only,True,True,0.0,0.7455,0.003184993765115738
0.0015,12.286425065040588,17.599998664855956,23.999996223449706,39.900001525878906,42.97945140266418,173.13504695892314,369.5039962768554,444.9059862670938,0.17825,3.64575,25.0,29.0,2.64575,24.0,28.0,0.11025,0.8571428571428571,0.05825,0.94175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,ai_risk,True,True,0.00375,0.691,0.01842963759756088
0.008,12.155625060081482,16.60000228881836,22.001999969482373,28.500596191406647,23.70637558555603,43.5000114440918,46.79999168395996,47.89999771499634,0.0005,2.367,6.0,7.0,1.367,5.0,6.0,0.01125,1.0,0.04225,0.95775,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,edf,True,True,0.02125,0.7245,0.09724500048065185
0.1815,2.8525999898910523,3.299999237060547,4.700000762939453,17.40350152969591,2.87139999294281,3.3000030517578125,4.799999237060547,20.500403816223407,0.0,1.003,1.0,3.0,0.003,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,fast_only,True,True,0.2545,0.0,0.517746898165226
0.00025,11.866869167208229,17.19999771118164,23.80100002288816,35.70049771118197,28.24700985419533,73.60760617793272,156.3281825704511,230.6480928733413,0.11425,2.6765,11.0,17.0,1.6765,10.0,16.0,0.067,0.9523809523809523,0.0,1.0,0.32625,0.6737500000000001,0.17701149425287357,0.17701149425287357,0.13333333333333333,0.18675,0.32625,0.09912378887236117,0.09912378887236117,0.09912378887236117,4000,1,True,loop_per_shot,heuristic_pre_fixed,True,True,0.0,0.7455,0.002966717291802057
0.00025,2.6334900169372557,7.330000305175782,9.850400009155265,16.210000610351564,2.7628775234227296,7.68999946594522,13.210902114872495,21.51251756133908,0.0,1.052,2.0,5.0,0.052,1.0,4.0,0.0,1.0,0.7455,0.2545,1.0,0.0,0.2545,0.2545,0.1815,1.0,1.0,0.5999999999999998,0.5999999999999998,0.5999999999999998,4000,1,True,loop_per_shot,oracle_predecoder,True,True,0.0,0.0,0.000658372504234314
0.00025,5.95872504234314,17.700000762939453,24.00100002288816,39.900001525878906,11.590000193595886,33.81499938964836,142.9089941024778,233.4008977088934,0.039,1.573,11.0,18.0,0.573,10.0,17.0,0.02875,0.9761904761904762,0.7455,0.2545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,oracle_risk,True,True,0.0,0.0,0.001489681260585785
0.1815,2.8589249897003173,3.299999237060547,4.700000762939453,20.900405334472918,2.8802499923706053,3.3999940872192385,4.801002998352027,20.900405334472918,0.0,1.00325,1.0,3.0,0.00325,0.0,2.0,0.0,1.0,0.99975,0.00025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,1,True,loop_per_shot,risk_heuristic,True,True,0.25425,0.0,0.5188948856306076
0.014,10.94249261346702,17.199997901916504,23.80100002288816,36.20349771499864,21.627295754277792,50.205830552722134,95.84351555677696,141.70462520120822,0.0585,2.24375,8.0,12.0,1.24375,7.0,11.0,0.02675,0.9761904761904762,0.1675,0.8325,0.31725,0.68275,0.17178881008668243,0.17178881008668243,0.13159968479117415,0.186,0.31725,0.09687905401736498,0.09687905401736498,0.09687905401736498,4000,1,True,loop_per_shot,rt_qec,True,True,0.02025,0.59825,0.1531948965885383
0.00325,11.58830875176078,17.19999771118164,23.80100002288816,36.20349771499864,24.092309147515394,54.06749449806571,102.40643547417665,146.84263382128623,0.076,2.39875,9.0,12.0,1.39875,8.0,11.0,0.03425,0.9523809523809523,0.052,0.948,0.321,0.679,0.17367601246105918,0.17367601246105918,0.13395638629283488,0.1865,0.321,0.09777848584502935,0.09777848584502935,0.09777848584502935,4000,1,True,loop_per_shot,rt_qec_ai,True,True,0.007,0.7005,0.037662003443222535
